! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : CB05TUCl_EPA_EdgeList.csv
! Equation file        : CB05TUCl_EPA.kpp
! Output root filename : CB05TUCl_EPA
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
82,126,R126,HO2,0.5
60,127,IOLE,R127,-1
67,127,R127,ALDX,0.64
68,127,R127,ALD2,1.18
79,127,NO3,R127,-1
81,127,R127,NO2,1
82,127,R127,HO2,1
12,128,R128,TOLRO2,1
37,128,TOL,R128,-1
50,128,R128,TO2,0.65
59,128,R128,CRES,0.18
72,128,OH,R128,-1
72,128,R128,OH,0.072
73,128,R128,XO2,0.1
82,128,R128,HO2,0.28
50,129,TO2,R129,-1
54,129,R129,CO,0.336
55,129,R129,MGLY,0.52
62,129,R129,OPEN,0.86
69,129,R129,FORM,0.336
70,129,R129,NTR,0.14
74,129,NO,R129,-1
81,129,R129,NO2,0.86
82,129,R129,HO2,1.2
50,130,TO2,R130,-1
82,130,HO2,R130,-1
36,131,R131,CAT1,0.732
51,131,R131,CRO,0.06
54,131,R131,CO,0.06
59,131,CRES,R131,-1
62,131,R131,OPEN,0.13
63,131,R131,XO2N,0.06
69,131,R131,FORM,0.06
72,131,OH,R131,-1
73,131,R131,XO2,0.12
82,131,R131,HO2,1.12
51,132,R132,CRO,0.3
52,132,R132,HNO3,1
54,132,R132,CO,0.24
55,132,R132,MGLY,0.24
59,132,CRES,R132,-1
62,132,R132,OPEN,0.12
63,132,R132,XO2N,0.1
67,132,R132,ALDX,0.48
69,132,R132,FORM,0.24
73,132,R132,XO2,0.6
79,132,NO3,R132,-1
82,132,R132,HO2,0.36
39,133,R133,CRON,1
51,133,CRO,R133,-1
81,133,NO2,R133,-1
51,134,CRO,R134,-1
59,134,R134,CRES,1
82,134,HO2,R134,-1
39,135,CRON,R135,-1
56,135,R135,CRNO,1
72,135,OH,R135,-1
39,136,CRON,R136,-1
52,136,R136,HNO3,1
56,136,R136,CRNO,1
79,136,NO3,R136,-1
56,137,CRNO,R137,-1
70,137,R137,NTR,2
81,137,NO2,R137,-1
47,138,R138,CRN2,1
56,138,CRNO,R138,-1
71,138,O3,R138,-1
47,139,CRN2,R139,-1
56,139,R139,CRNO,1
74,139,NO,R139,-1
81,139,R139,NO2,1
28,140,R140,CRPX,1
47,140,CRN2,R140,-1
82,140,HO2,R140,-1
28,141,CRPX,R141,-1
56,141,R141,CRNO,1
72,141,R141,OH,1
28,142,CRPX,R142,-1
47,142,R142,CRN2,1
72,142,OH,R142,-1
48,143,R143,OPO3,1
54,143,R143,CO,1
62,143,OPEN,R143,-1
82,143,R143,HO2,1
48,144,R144,OPO3,0.6
53,144,R144,CAO2,0.4
62,144,OPEN,R144,-1
72,144,OH,R144,-1
48,145,R145,OPO3,0.62
54,145,R145,CO,0.69
55,145,R145,MGLY,0.2
62,145,OPEN,R145,-1
67,145,R145,ALDX,0.03
69,145,R145,FORM,0.7
71,145,O3,R145,-1
72,145,R145,OH,0.08
73,145,R145,XO2,0.03
82,145,R145,HO2,0.76
48,146,R146,OPO3,1
52,146,R146,HNO3,1
62,146,OPEN,R146,-1
79,146,NO3,R146,-1
36,147,CAT1,R147,-1
53,147,R147,CAO2,1
72,147,OH,R147,-1
36,148,CAT1,R148,-1
51,148,R148,CRO,1
52,148,R148,HNO3,1
79,148,NO3,R148,-1
53,149,CAO2,R149,-1
54,149,R149,CO,0.344
69,149,R149,FORM,0.344
70,149,R149,NTR,0.14
74,149,NO,R149,-1
81,149,R149,NO2,0.86
82,149,R149,HO2,1.2
53,150,CAO2,R150,-1
82,150,HO2,R150,-1
48,151,OPO3,R151,-1
67,151,R151,ALDX,1
73,151,R151,XO2,1
74,151,NO,R151,-1
81,151,R151,NO2,1
82,151,R151,HO2,1
20,152,R152,OPAN,1
48,152,OPO3,R152,-1
81,152,NO2,R152,-1
20,153,OPAN,R153,-1
48,153,R153,OPO3,1
81,153,R153,NO2,1
16,154,R154,XYLRO2,1
43,154,XYL,R154,-1
50,154,R154,TO2,0.3
55,154,R154,MGLY,0.8
59,154,R154,CRES,0.2
64,154,R154,PAR,1.1
72,154,OH,R154,-1
73,154,R154,XO2,0.5
82,154,R154,HO2,0.7
55,155,MGLY,R155,-1
72,155,OH,R155,-1
73,155,R155,XO2,1
75,155,R155,C2O3,1
54,156,R156,CO,1
55,156,MGLY,R156,-1
75,156,R156,C2O3,1
82,156,R156,HO2,1
64,157,R157,PAR,0.25
65,157,ISOP,R157,-1
66,157,R157,ISPD,0.75
69,157,R157,FORM,0.5
73,157,R157,XO2,0.25
78,157,O,R157,-1
80,157,R157,CXO3,0.25
82,157,R157,HO2,0.25
5,158,R158,ISOPRXN,1
63,158,R158,XO2N,0.088
65,158,ISOP,R158,-1
66,158,R158,ISPD,0.912
69,158,R158,FORM,0.629
72,158,OH,R158,-1
73,158,R158,XO2,0.991
82,158,R158,HO2,0.912
54,159,R159,CO,0.066
64,159,R159,PAR,0.35
65,159,ISOP,R159,-1
66,159,R159,ISPD,0.65
67,159,R159,ALDX,0.15
69,159,R159,FORM,0.6
71,159,O3,R159,-1
72,159,R159,OH,0.266
73,159,R159,XO2,0.2
80,159,R159,CXO3,0.2
82,159,R159,HO2,0.066
64,160,R160,PAR,2.4
65,160,ISOP,R160,-1
66,160,R160,ISPD,0.2
