! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : jam_SpeciesCompositionMatrix.csv
! Equation file        : jam.kpp
! Output root filename : jam
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,F,S,Cl,Br
156,LIMON,0,16,10,0,0,0,0,0,0
157,MYRC,0,16,10,0,0,0,0,0,0
158,C5H8,0,8,5,0,0,0,0,0,0
159,C3H6,0,6,3,0,0,0,0,0,0
160,H2O2,0,2,0,0,2,0,0,0,0
161,PHENO2,0,7,6,0,6,0,0,0,0
162,XYLOLO2,0,11,8,0,6,0,0,0,0
163,MVKN,1,0,0,0,0,0,0,0,0
164,NOA,0,5,3,1,4,0,0,0,0
165,TOLO2,0,9,7,0,5,0,0,0,0
166,XYLENO2,0,11,8,0,5,0,0,0,0
167,DICARBO2,0,5,5,0,4,0,0,0,0
168,DMS,0,6,2,0,0,0,1,0,0
169,C3H7O2,0,7,3,0,2,0,0,0,0
170,LIECO3,0,7,5,0,5,0,0,0,0
171,LHMVKABOOH,0,8,4,0,4,0,0,0,0
172,TERPROD2,0,10,7,0,2,0,0,0,0
173,ENEO2,0,9,4,0,3,0,0,0,0
174,CO2H3CO3,0,5,4,0,5,0,0,0,0
175,HOCH2CH2O2,0,5,2,0,3,0,0,0,0
176,MALO2,0,3,4,0,4,0,0,0,0
177,C6H5O2,0,5,6,0,2,0,0,0,0
178,CATEC1O2,0,5,6,0,3,0,0,0,0
179,IEC1O2,0,9,5,0,5,0,0,0,0
180,C2H5O2,0,5,2,0,2,0,0,0,0
181,TERPO2,0,17,10,0,3,0,0,0,0
182,MACROH,0,8,4,0,3,0,0,0,0
183,CO2,0,0,1,0,2,0,0,0,0
184,CH3COCH3,0,6,3,0,1,0,0,0,0
185,MDIALO2,0,5,5,0,4,0,0,0,0
186,NTERPO2,0,16,10,1,5,0,0,0,0
187,LMEKO2,0,7,4,0,3,0,0,0,0
188,LNISO3,0,0,5,1,0,0,0,0,0
189,NISOPO2,0,8,5,1,5,0,0,0,0
190,H2,0,2,0,0,0,0,0,0,0
191,PRONO3BO2,0,6,3,1,5,0,0,0,0
192,TERP2O2,0,15,10,0,4,0,0,0,0
193,MACO3,0,5,4,0,3,0,0,0,0
194,CH3OH,0,4,1,0,1,0,0,0,0
195,MBOO2,0,11,5,0,4,0,0,0,0
196,IPRHOCO3,0,7,4,0,4,0,0,0,0
197,MBONO3O2,0,10,5,1,6,0,0,0,0
198,C59O2,0,9,5,0,5,0,0,0,0
199,TERPROD1,0,16,10,0,2,0,0,0,0
200,HYPROPO2,0,7,3,0,3,0,0,0,0
201,CO2H3CHO,0,6,4,0,3,0,0,0,0
202,ALKO2,0,11,5,0,2,0,0,0,0
