! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_BiadjacencyMatrix.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
HCHO,715,142,2
CH2OO,718,142,-2
O2,723,142,1
HOCH2O2NO2,340,143,1
HOCH2O2,648,143,-1
NO2,731,143,-1
HOCH2O2NO2,340,144,-1
HOCH2O2,648,144,1
NO2,731,144,1
HOCH2O2NO2,340,145,-1
H2O,714,145,1
OH,727,145,-1
HCOOH,728,145,1
NO3,732,145,1
CH3,708,146,-1
CH3O2,717,146,1
O2,723,146,-1
H,691,147,0.956
CH3O,705,147,0.044
CH3,708,147,-1
HCHO,715,147,0.956
O3,719,147,-1
O2,723,147,1
H2,601,148,0.17
H,691,148,1
CH3,708,148,-1
HCHO,715,148,0.83
O3P,720,148,-1
CO,726,148,0.17
CH3O,705,149,-1
CH3O2,717,149,1
O3,719,149,-1
O2,723,149,1
CH3O,705,150,-1
CH3,708,150,0.75
HCHO,715,150,0.25
O3P,720,150,-1
O2,723,150,0.75
OH,727,150,0.25
CH3O,705,151,1
CH3O2,717,151,-1
O3P,720,151,-1
O2,723,151,1
CO2,653,152,0.3
H,691,152,0.3
HCHO,715,152,-1
O3P,720,152,-1
HO2,721,152,1
CO,726,152,0.7
OH,727,152,0.7
CH2OOA,384,153,-1
H2O,714,153,0.47
CH2OO,718,153,0.37
HO2,721,153,0.16
CO,726,153,0.63
OH,727,153,0.16
CN,325,154,1
HCN,558,154,-1
H2O,714,154,1
OH,727,154,-1
O3P,720,155,1
O1D,722,155,-1
NCO,313,156,1
HCN,558,156,-1
H,691,156,1
O1D,722,156,-1
CN,325,157,1
HCN,558,157,-1
O1D,722,157,-1
OH,727,157,1
NCO,313,158,1
HCN,558,158,-1
H,691,158,1
O3P,720,158,-1
NCO,313,159,1
CN,325,159,-1
O3P,720,159,1
O2,723,159,-1
CN,325,160,-1
O2,723,160,-1
CO,726,160,1
NO,730,160,1
NCO,313,161,-1
CO2,653,161,1
O2,723,161,-1
NO,730,161,1
C2H6,141,162,-1
C2H5O2,656,162,1
H2O,714,162,1
OH,727,162,-1
CH2OOA,384,163,1
C2H4,698,163,-1
HCHO,715,163,1
O3,719,163,-1
HOCH2CH2O2,672,164,1
C2H4,698,164,-1
OH,727,164,-1
C2H5OOH,268,165,1
C2H5O2,656,165,-1
HO2,721,165,-1
C2H5O2,656,166,-1
CH3CHO,713,166,1
HO2,721,166,1
NO,730,166,-1
NO2,731,166,1
C2H5NO3,237,167,1
C2H5O2,656,167,-1
NO,730,167,-1
C2H5O2,656,168,-1
CH3CHO,713,168,1
HO2,721,168,1
NO2,731,168,1
NO3,732,168,-1
C2H5OH,490,169,0.2
C2H5O2,656,169,-1
CH3CHO,713,169,0.8
HO2,721,169,0.6
C2H5OOH,268,170,-1
C2H5O2,656,170,1
H2O,714,170,1
OH,727,170,-1
C2H5OOH,268,171,-1
CH3CHO,713,171,1
CH3CO,679,172,1
CH3CHO,713,172,-1
H2O,714,172,1
OH,727,172,-1
HCOCH2O2,702,173,1
CH3CHO,713,173,-1
H2O,714,173,1
OH,727,173,-1
HNO3,671,174,1
CH3CO,679,174,1
CH3CHO,713,174,-1
NO3,732,174,-1
CH3CO2H,574,175,-1
CO2,653,175,1
CH3,708,175,1
H2O,714,175,1
OH,727,175,-1
CO2,653,176,1
CH3CO3,704,176,-1
CH3,708,176,1
HO2,721,176,-1
OH,727,176,1
CH3CO3H,221,177,1
CH3CO3,704,177,-1
HO2,721,177,-1
CH3CO2H,574,178,1
CH3CO3,704,178,-1
O3,719,178,1
HO2,721,178,-1
CO2,653,179,1
CH3CO3,704,179,-1
CH3,708,179,1
NO,730,179,-1
NO2,731,179,1
PAN,416,180,1
CH3CO3,704,180,-1
NO2,731,180,-1
CO2,653,181,1
CH3CO3,704,181,-1
CH3,708,181,1
NO2,731,181,1
NO3,732,181,-1
CO2,653,182,1
CH3CO3,704,182,-1
CH3,708,182,1
CH3CO2H,574,183,1
CH3CO3,704,183,-1
CH3CO3H,221,184,-1
CH3CO3,704,184,1
H2O,714,184,1
OH,727,184,-1
PAN,416,185,-1
H2O,714,185,1
HCHO,715,185,1
CO,726,185,1
OH,727,185,-1
NO2,731,185,1
PAN,416,186,-1
CH3CO3,704,186,1
NO2,731,186,1
C2H2,449,187,-1
GLYOX,697,187,0.71
HO2,721,187,0.29
CO,726,187,0.29
OH,727,187,-0.29
HCOOH,728,187,0.29
HOCHCHO,399,188,0.2
HOCH2CO,690,188,0.8
HOCH2CHO,709,188,-1
H2O,714,188,1
OH,727,188,-1
HOCH2CO3,633,189,1
HOCH2CO,690,189,-1
O2,723,189,-1
CO2,653,190,1
HOCH2CO,690,190,-1
HCHO,715,190,1
O2,723,190,-1
OH,727,190,1
HOCHCHO,399,191,-1
GLYOX,697,191,1
HO2,721,191,1
HNO3,671,192,1
HOCH2CO,690,192,1
HOCH2CHO,709,192,-1
NO3,732,192,-1
HOCH2CO3,633,193,-1
CO2,653,193,1
HCHO,715,193,1
HO2,721,193,1
HOCH2CO2H,429,194,1
HOCH2CO3,633,194,-1
HOCH2CO3,633,195,-1
CO2,653,195,1
HCHO,715,195,1
