! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gas_EdgeList.csv
! Equation file        : gas.kpp
! Output root filename : gas
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
715,101,R101,HCHO,0.4
717,101,R101,CH3O2,0.6
727,101,OH,R101,-1
727,101,R101,OH,0.4
714,102,R102,H2O,1
715,102,HCHO,R102,-1
721,102,R102,HO2,1
726,102,R102,CO,1
727,102,OH,R102,-1
671,103,R103,HNO3,1
715,103,HCHO,R103,-1
721,103,R103,HO2,1
726,103,R103,CO,1
732,103,NO3,R103,-1
653,104,R104,CO2,1
691,104,R104,H,1
726,104,CO,R104,-1
727,104,OH,R104,-1
653,105,R105,CO2,1
714,105,R105,H2O,1
721,105,R105,HO2,1
727,105,OH,R105,-1
728,105,HCOOH,R105,-1
653,106,R106,CO2,1
720,106,O3P,R106,-1
726,106,CO,R106,-1
641,107,CH4,R107,-1
691,107,R107,H,0.49
705,107,R107,CH3O,0.49
708,107,R107,CH3,0.51
720,107,O3P,R107,-1
727,107,R107,OH,0.51
338,108,R108,CH3O2NO2,1
717,108,CH3O2,R108,-1
731,108,NO2,R108,-1
338,109,CH3O2NO2,R109,-1
717,109,R109,CH3O2,1
731,109,R109,NO2,1
338,110,CH3O2NO2,R110,-1
714,110,R110,H2O,1
715,110,R110,HCHO,1
727,110,OH,R110,-1
732,110,R110,NO3,1
501,111,CH3NO3,R111,-1
714,111,R111,H2O,1
715,111,R111,HCHO,1
727,111,OH,R111,-1
731,111,R111,NO2,1
705,112,CH3O,R112,-1
715,112,R112,HCHO,1
721,112,R112,HO2,1
501,113,R113,CH3NO3,1
705,113,CH3O,R113,-1
731,113,NO2,R113,-1
491,114,R114,HONO,1
705,114,CH3O,R114,-1
715,114,R114,HCHO,1
731,114,NO2,R114,-1
393,115,R115,CH3ONO,1
705,115,CH3O,R115,-1
730,115,NO,R115,-1
540,116,R116,HNO,1
705,116,CH3O,R116,-1
715,116,R116,HCHO,1
730,116,NO,R116,-1
705,117,R117,CH3O,1
717,117,CH3O2,R117,-1
719,117,O3,R117,-1
723,117,R117,O2,2
393,118,CH3ONO,R118,-1
714,118,R118,H2O,1
715,118,R118,HCHO,1
727,118,OH,R118,-1
730,118,R118,NO,1
648,119,R119,HOCH2O2,1
715,119,HCHO,R119,-1
721,119,HO2,R119,-1
648,120,HOCH2O2,R120,-1
715,120,R120,HCHO,1
721,120,R120,HO2,1
519,121,R121,HOCH2OOH,0.5
648,121,HOCH2O2,R121,-1
714,121,R121,H2O,0.3
721,121,HO2,R121,-1
721,121,R121,HO2,0.2
723,121,R121,O2,0.8
727,121,R121,OH,0.2
728,121,R121,HCOOH,0.5
648,122,HOCH2O2,R122,-1
721,122,R122,HO2,1
728,122,R122,HCOOH,1
730,122,NO,R122,-1
731,122,R122,NO2,1
648,123,HOCH2O2,R123,-1
721,123,R123,HO2,1
728,123,R123,HCOOH,1
731,123,R123,NO2,1
732,123,NO3,R123,-1
648,124,HOCH2O2,R124,-1
721,124,R124,HO2,1
728,124,R124,HCOOH,1
90,125,R125,HOCH2OH,0.5
648,125,HOCH2O2,R125,-1
723,125,R125,O2,0.5
728,125,R125,HCOOH,0.5
519,126,HOCH2OOH,R126,-1
648,126,R126,HOCH2O2,1
714,126,R126,H2O,1
727,126,OH,R126,-1
519,127,HOCH2OOH,R127,-1
714,127,R127,H2O,1
727,127,OH,R127,-1
727,127,R127,OH,1
728,127,R127,HCOOH,1
90,128,HOCH2OH,R128,-1
714,128,R128,H2O,1
721,128,R128,HO2,1
727,128,OH,R128,-1
728,128,R128,HCOOH,1
705,129,R129,CH3O,1
717,129,CH3O2,R129,-1
721,129,R129,HO2,1
727,129,OH,R129,-1
718,130,CH2OO,R130,-1
721,130,R130,HO2,1
726,130,R130,CO,1
727,130,R130,OH,1
519,131,R131,HOCH2OOH,1
714,131,H2O,R131,-1
718,131,CH2OO,R131,-1
84,132,H2OH2O,R132,-1
519,132,R132,HOCH2OOH,1
714,132,R132,H2O,1
718,132,CH2OO,R132,-1
715,133,R133,HCHO,1
718,133,CH2OO,R133,-1
730,133,NO,R133,-1
731,133,R133,NO2,1
715,134,R134,HCHO,1
718,134,CH2OO,R134,-1
731,134,NO2,R134,-1
732,134,R134,NO3,1
653,135,R135,CO2,1
715,135,R135,HCHO,1
718,135,CH2OO,R135,-1
726,135,CO,R135,-1
718,136,CH2OO,R136,-1
728,136,HCOOH,R136,-1
728,136,R136,HCOOH,2
9,137,R137,LCARBON,2
715,137,HCHO,R137,-1
718,137,CH2OO,R137,-1
9,138,R138,LCARBON,2
677,138,CH3OH,R138,-1
718,138,CH2OO,R138,-1
9,139,R139,LCARBON,2
717,139,CH3O2,R139,-1
718,139,CH2OO,R139,-1
9,140,R140,LCARBON,1
718,140,CH2OO,R140,-1
721,140,HO2,R140,-1
715,141,R141,HCHO,1
718,141,CH2OO,R141,-1
719,141,O3,R141,-1
723,141,R141,O2,2
715,142,R142,HCHO,2
718,142,CH2OO,R142,-2
723,142,R142,O2,1
340,143,R143,HOCH2O2NO2,1
648,143,HOCH2O2,R143,-1
731,143,NO2,R143,-1
340,144,HOCH2O2NO2,R144,-1
648,144,R144,HOCH2O2,1
731,144,R144,NO2,1
340,145,HOCH2O2NO2,R145,-1
714,145,R145,H2O,1
727,145,OH,R145,-1
728,145,R145,HCOOH,1
732,145,R145,NO3,1
708,146,CH3,R146,-1
717,146,R146,CH3O2,1
723,146,O2,R146,-1
691,147,R147,H,0.956
705,147,R147,CH3O,0.044
708,147,CH3,R147,-1
715,147,R147,HCHO,0.956
719,147,O3,R147,-1
723,147,R147,O2,1
601,148,R148,H2,0.17
691,148,R148,H,1
708,148,CH3,R148,-1
715,148,R148,HCHO,0.83
720,148,O3P,R148,-1
726,148,R148,CO,0.17
705,149,CH3O,R149,-1
717,149,R149,CH3O2,1
719,149,O3,R149,-1
723,149,R149,O2,1
705,150,CH3O,R150,-1
708,150,R150,CH3,0.75
715,150,R150,HCHO,0.25
720,150,O3P,R150,-1
723,150,R150,O2,0.75
727,150,R150,OH,0.25
705,151,R151,CH3O,1
717,151,CH3O2,R151,-1
720,151,O3P,R151,-1
723,151,R151,O2,1
653,152,R152,CO2,0.3
691,152,R152,H,0.3
715,152,HCHO,R152,-1
720,152,O3P,R152,-1
721,152,R152,HO2,1
726,152,R152,CO,0.7
727,152,R152,OH,0.7
384,153,CH2OOA,R153,-1
714,153,R153,H2O,0.47
718,153,R153,CH2OO,0.37
721,153,R153,HO2,0.16
726,153,R153,CO,0.63
727,153,R153,OH,0.16
325,154,R154,CN,1
558,154,HCN,R154,-1
714,154,R154,H2O,1
727,154,OH,R154,-1
558,155,HCN,R155,-1
558,155,R155,HCN,1
720,155,R155,O3P,1
722,155,O1D,R155,-1
313,156,R156,NCO,1
558,156,HCN,R156,-1
691,156,R156,H,1
722,156,O1D,R156,-1
325,157,R157,CN,1
558,157,HCN,R157,-1
722,157,O1D,R157,-1
727,157,R157,OH,1
313,158,R158,NCO,1
558,158,HCN,R158,-1
691,158,R158,H,1
720,158,O3P,R158,-1
