! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,reaction_index,source,target,directed_stoichiometric_value
239,81,R81,ALD2,0.75
241,81,R81,CH2O,0.75
242,81,MO2,R81,-1
259,81,R81,HO2,1
116,82,R82,EOH,0.25
192,82,R82,MOH,0.25
229,82,OTHRO2,R82,-1
239,82,R82,ALD2,0.75
241,82,R82,CH2O,0.75
242,82,MO2,R82,-1
259,82,R82,HO2,1
27,83,R83,LOx,1
199,83,R83,KO2,1
211,83,R83,HNO3,1
228,83,MEK,R83,-1
260,83,NO3,R83,-1
137,84,R84,ROH,0.25
188,84,R84,ACET,0.16
192,84,R84,MOH,0.25
209,84,R84,A3O2,0.03
228,84,R84,MEK,0.35
229,84,R84,OTHRO2,0.16
231,84,R4O2,R84,-1
232,84,R84,B3O2,0.09
234,84,R84,RCHO,0.07
239,84,R84,ALD2,0.16
241,84,R84,CH2O,0.75
242,84,MO2,R84,-1
242,84,R84,MO2,0.09
259,84,R84,HO2,0.64
137,85,R85,ROH,0.25
174,85,R4N1,R85,-1
192,85,R85,MOH,0.25
231,85,R85,R4O2,0.15
234,85,R85,RCHO,0.54
239,85,R85,ALD2,0.38
241,85,R85,CH2O,0.95
242,85,MO2,R85,-1
251,85,R85,NO2,1
259,85,R85,HO2,0.5
192,86,R86,MOH,0.5
208,86,R86,MGLY,0.5
224,86,R86,HAC,0.2
227,86,ATO2,R86,-1
237,86,R86,MCO3,0.3
241,86,R86,CH2O,0.5
242,86,MO2,R86,-1
259,86,R86,HO2,0.3
137,87,R87,ROH,0.25
192,87,R87,MOH,0.25
199,87,KO2,R87,-1
228,87,R87,MEK,0.25
237,87,R87,MCO3,0.5
239,87,R87,ALD2,0.5
241,87,R87,CH2O,0.75
242,87,MO2,R87,-1
259,87,R87,HO2,0.5
137,88,R88,ROH,0.25
188,88,R88,ACET,0.75
192,88,R88,MOH,0.25
232,88,B3O2,R88,-1
241,88,R88,CH2O,0.75
242,88,MO2,R88,-1
259,88,R88,HO2,1
137,89,R89,ROH,0.25
175,89,PRN1,R89,-1
192,89,R89,MOH,0.25
234,89,R89,RCHO,0.25
239,89,R89,ALD2,0.5
241,89,R89,CH2O,1.25
242,89,MO2,R89,-1
251,89,R89,NO2,1
259,89,R89,HO2,0.5
116,90,EOH,R90,-1
239,90,R90,ALD2,1
256,90,OH,R90,-1
259,90,R90,HO2,1
137,91,ROH,R91,-1
234,91,R91,RCHO,1
256,91,OH,R91,-1
259,91,R91,HO2,1
191,92,ETO2,R92,-2
239,92,R92,ALD2,2
259,92,R92,HO2,2
229,93,OTHRO2,R93,-2
239,93,R93,ALD2,2
259,93,R93,HO2,2
116,94,R94,EOH,1
191,94,ETO2,R94,-2
239,94,R94,ALD2,1
116,95,R95,EOH,1
229,95,OTHRO2,R95,-2
239,95,R95,ALD2,1
98,96,R96,ETP,1
191,96,ETO2,R96,-1
259,96,HO2,R96,-1
98,97,R97,ETP,1
229,97,OTHRO2,R97,-1
259,97,HO2,R97,-1
81,98,R98,RA3P,1
209,98,A3O2,R98,-1
259,98,HO2,R98,-1
99,99,R99,PP,1
182,99,PO2,R99,-1
259,99,HO2,R99,-1
26,100,R100,POx,0.15
83,100,R100,RP,0.41
195,100,RCO3,R100,-1
209,100,R100,A3O2,0.03
229,100,R100,OTHRO2,0.22
232,100,R100,B3O2,0.12
250,100,R100,O3,0.15
256,100,R100,OH,0.44
259,100,HO2,R100,-1
182,101,R101,PO2,1
233,101,PRPE,R101,-1
256,101,OH,R101,-1
27,102,R102,LOx,1
28,102,R102,PCO,0.56
162,102,R102,CH4,0.1
205,102,R102,CH3CHOO,0.12
233,102,PRPE,R102,-1
236,102,R102,CH2OO,0.12
238,102,R102,CO,0.56
239,102,R102,ALD2,0.5
241,102,R102,CH2O,0.5
242,102,R102,MO2,0.28
250,102,O3,R102,-1
256,102,R102,OH,0.36
259,102,R102,HO2,0.28
5,103,R103,CO2,0.361
28,103,R103,PCO,0.505
184,103,R103,HCOOH,0.134
185,103,R103,GLYX,0.134
210,103,GLYC,R103,-1
238,103,R103,CO,0.505
241,103,R103,CH2O,0.732
256,103,OH,R103,-1
256,103,R103,OH,0.227
259,103,R103,HO2,0.773
28,104,R104,PCO,1
184,104,R104,HCOOH,1
210,104,GLYC,R104,-1
238,104,R104,CO,1
256,104,OH,R104,-1
256,104,R104,OH,1
27,105,R105,LOx,1
175,105,R105,PRN1,1
233,105,PRPE,R105,-1
260,105,NO3,R105,-1
28,106,R106,PCO,2
185,106,GLYX,R106,-1
238,106,R106,CO,2
256,106,OH,R106,-1
259,106,R106,HO2,1
28,107,R107,PCO,1
208,107,MGLY,R107,-1
237,107,R107,MCO3,1
238,107,R107,CO,1
256,107,OH,R107,-1
27,108,R108,LOx,1
28,108,R108,PCO,2
185,108,GLYX,R108,-1
211,108,R108,HNO3,1
238,108,R108,CO,2
259,108,R108,HO2,1
260,108,NO3,R108,-1
27,109,R109,LOx,1
28,109,R109,PCO,1
208,109,MGLY,R109,-1
211,109,R109,HNO3,1
237,109,R109,MCO3,1
238,109,R109,CO,1
260,109,NO3,R109,-1
208,110,R110,MGLY,1
224,110,HAC,R110,-1
256,110,OH,R110,-1
259,110,R110,HO2,1
5,111,R111,CO2,0.5
28,111,R111,PCO,0.5
183,111,R111,ACTA,0.5
184,111,R111,HCOOH,0.5
224,111,HAC,R111,-1
238,111,R111,CO,0.5
242,111,R111,MO2,0.5
256,111,OH,R111,-1
256,111,R111,OH,1
209,112,A3O2,R112,-1
234,112,R112,RCHO,1
237,112,MCO3,R112,-1
242,112,R112,MO2,1
259,112,R112,HO2,1
182,113,PO2,R113,-1
237,113,MCO3,R113,-1
239,113,R113,ALD2,1
241,113,R113,CH2O,1
242,113,R113,MO2,1
259,113,R113,HO2,1
183,114,R114,ACTA,1
209,114,A3O2,R114,-1
234,114,R114,RCHO,1
237,114,MCO3,R114,-1
182,115,PO2,R115,-1
183,115,R115,ACTA,1
224,115,R115,HAC,0.65
234,115,R115,RCHO,0.35
237,115,MCO3,R115,-1
195,116,RCO3,R116,-1
209,116,R116,A3O2,0.07
229,116,R116,OTHRO2,0.5
232,116,R116,B3O2,0.27
241,116,R116,CH2O,1
242,116,MO2,R116,-1
259,116,R116,HO2,1
195,117,RCO3,R117,-1
241,117,R117,CH2O,1
242,117,MO2,R117,-1
100,118,PRPN,R118,-1
171,118,R118,PROPNN,0.791
175,118,R118,PRN1,0.209
256,118,OH,R118,-1
256,118,R118,OH,0.791
98,119,ETP,R119,-1
229,119,R119,OTHRO2,0.36
239,119,R119,ALD2,0.64
256,119,OH,R119,-1
256,119,R119,OH,0.64
81,120,RA3P,R120,-1
209,120,R120,A3O2,0.36
234,120,R120,RCHO,0.64
256,120,OH,R120,-1
256,120,R120,OH,0.64
82,121,RB3P,R121,-1
188,121,R121,ACET,0.791
232,121,R121,B3O2,0.209
256,121,OH,R121,-1
256,121,R121,OH,0.791
80,122,R4P,R122,-1
231,122,R122,R4O2,0.209
234,122,R122,RCHO,0.791
256,122,OH,R122,-1
256,122,R122,OH,0.791
83,123,RP,R123,-1
195,123,R123,RCO3,1
256,123,OH,R123,-1
99,124,PP,R124,-1
182,124,R124,PO2,0.209
224,124,R124,HAC,0.791
256,124,OH,R124,-1
256,124,R124,OH,0.791
16,125,LVOC,R125,-1
256,125,OH,R125,-1
256,125,R125,OH,1
64,126,MAP,R126,-1
237,126,R126,MCO3,1
256,126,OH,R126,-1
27,127,R127,LOx,1
138,127,C2H6,R127,-1
191,127,R127,ETO2,1
211,127,R127,HNO3,1
260,127,NO3,R127,-1
237,128,MCO3,R128,-2
242,128,R128,MO2,2
237,129,MCO3,R129,-1
241,129,R129,CH2O,1
242,129,MO2,R129,-1
242,129,R129,MO2,1
259,129,R129,HO2,1
183,130,R130,ACTA,1
237,130,MCO3,R130,-1
241,130,R130,CH2O,1
242,130,MO2,R130,-1
188,131,R131,ACET,0.32
209,131,R131,A3O2,0.05
228,131,R131,MEK,0.19
229,131,R131,OTHRO2,0.32
231,131,R4O2,R131,-1
232,131,R131,B3O2,0.18
234,131,R131,RCHO,0.13
237,131,MCO3,R131,-1
239,131,R131,ALD2,0.32
242,131,R131,MO2,1
259,131,R131,HO2,0.27
227,132,ATO2,R132,-1
237,132,MCO3,R132,-1
237,132,R132,MCO3,1
241,132,R132,CH2O,1
242,132,R132,MO2,1
199,133,KO2,R133,-1
237,133,MCO3,R133,-1
237,133,R133,MCO3,1
239,133,R133,ALD2,1
242,133,R133,MO2,1
188,134,R134,ACET,1
232,134,B3O2,R134,-1
237,134,MCO3,R134,-1
242,134,R134,MO2,1
259,134,R134,HO2,1
174,135,R4N1,R135,-1
231,135,R135,R4O2,0.3
234,135,R135,RCHO,0.57
237,135,MCO3,R135,-1
239,135,R135,ALD2,0.75
241,135,R135,CH2O,0.39
242,135,R135,MO2,1
251,135,R135,NO2,1
175,136,PRN1,R136,-1
237,136,MCO3,R136,-1
239,136,R136,ALD2,1
241,136,R136,CH2O,1
242,136,R136,MO2,1
251,136,R136,NO2,1
183,137,R137,ACTA,1
228,137,R137,MEK,1
231,137,R4O2,R137,-1
237,137,MCO3,R137,-1
183,138,R138,ACTA,1
208,138,R138,MGLY,1
227,138,ATO2,R138,-1
237,138,MCO3,R138,-1
183,139,R139,ACTA,1
199,139,KO2,R139,-1
228,139,R139,MEK,1
237,139,MCO3,R139,-1
174,140,R4N1,R140,-1
183,140,R140,ACTA,1
234,140,R140,RCHO,1
237,140,MCO3,R140,-1
251,140,R140,NO2,1
175,141,PRN1,R141,-1
183,141,R141,ACTA,1
234,141,R141,RCHO,1
237,141,MCO3,R141,-1
251,141,R141,NO2,1
183,142,R142,ACTA,1
188,142,R142,ACET,1
232,142,B3O2,R142,-1
237,142,MCO3,R142,-1
191,143,ETO2,R143,-1
237,143,MCO3,R143,-1
239,143,R143,ALD2,1
242,143,R143,MO2,1
259,143,R143,HO2,1
229,144,OTHRO2,R144,-1
237,144,MCO3,R144,-1
239,144,R144,ALD2,1
242,144,R144,MO2,1
259,144,R144,HO2,1
183,145,R145,ACTA,1
191,145,ETO2,R145,-1
237,145,MCO3,R145,-1
239,145,R145,ALD2,1
183,146,R146,ACTA,1
229,146,OTHRO2,R146,-1
237,146,MCO3,R146,-1
239,146,R146,ALD2,1
195,147,RCO3,R147,-1
209,147,R147,A3O2,0.07
229,147,R147,OTHRO2,0.5
232,147,R147,B3O2,0.27
237,147,MCO3,R147,-1
242,147,R147,MO2,1
27,148,R148,LOx,2
251,148,R148,NO2,2
260,148,NO3,R148,-2
68,149,R149,MPN,1
242,149,MO2,R149,-1
251,149,NO2,R149,-1
68,150,MPN,R150,-1
242,150,R150,MO2,1
251,150,R150,NO2,1
86,151,DMS,R151,-1
124,151,R151,SO2,1
241,151,R151,CH2O,1
242,151,R151,MO2,1
256,151,OH,R151,-1
19,152,R152,MSA,0.25
86,152,DMS,R152,-1
124,152,R152,SO2,0.75
242,152,R152,MO2,1
256,152,OH,R152,-1
27,153,R153,LOx,1
86,153,DMS,R153,-1
124,153,R153,SO2,1
211,153,R153,HNO3,1
241,153,R153,CH2O,1
242,153,R153,MO2,1
260,153,NO3,R153,-1
30,154,R154,PSO4,1
61,154,R154,SO4,1
124,154,SO2,R154,-1
256,154,OH,R154,-1
259,154,R154,HO2,1
246,155,R155,BrO,1
250,155,O3,R155,-1
257,155,Br,R155,-1
226,156,R156,HOBr,1
246,156,BrO,R156,-1
259,156,HO2,R156,-1
254,157,R157,HBr,1
257,157,Br,R157,-1
259,157,HO2,R157,-1
254,158,HBr,R158,-1
256,158,OH,R158,-1
257,158,R158,Br,1
258,158,R158,H2O,1
27,159,R159,LOx,2
246,159,BrO,R159,-2
257,159,R159,Br,2
27,160,R160,LOx,2
110,160,R160,Br2,1
246,160,BrO,R160,-2
246,161,BrO,R161,-1
251,161,R161,NO2,1
257,161,R161,Br,1
262,161,NO,R161,-1
110,162,R162,Br2,1
155,162,BrNO3,R162,-1
257,162,Br,R162,-1
260,162,R162,NO3,1
26,163,R163,POx,1
110,163,Br2,R163,-1
226,163,R163,HOBr,1
256,163,OH,R163,-1
257,163,R163,Br,1
27,164,R164,LOx,1
226,164,HOBr,R164,-1
246,164,R164,BrO,1
256,164,R164,OH,1
261,164,O,R164,-1
27,165,R165,LOx,1
254,165,HBr,R165,-1
256,165,R165,OH,1
257,165,R165,Br,1
261,165,O,R165,-1
27,166,R166,LOx,1
246,166,BrO,R166,-1
256,166,OH,R166,-1
257,166,R166,Br,1
259,166,R166,HO2,1
246,167,R167,BrO,1
251,167,R167,NO2,1
257,167,Br,R167,-1
260,167,NO3,R167,-1
28,168,R168,PCO,1
238,168,R168,CO,1
241,168,CH2O,R168,-1
254,168,R168,HBr,1
257,168,Br,R168,-1
