! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_EdgeList.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
103,122,R122,HCOOH,0.35
109,122,R122,GLYOXAL,0.65
123,122,R122,CO,0.35
148,122,OH,R122,-1
148,122,R122,OH,0.65
149,122,R122,HO2,0.35
60,123,C2H4,R123,-1
103,123,R123,HCOOH,0.37
123,123,R123,CO,0.63
146,123,R123,CH2O,1
148,123,R123,OH,0.13
149,123,R123,HO2,0.13
151,123,O3,R123,-1
10,124,R124,RO2_RO2,1
40,124,R124,C2H5OH,0.4
108,124,C2H5O2,R124,-2
129,124,R124,CH3CHO,1.6
149,124,R124,HO2,1.2
10,125,R125,RO2_RO2,1
40,125,R125,C2H5OH,0.2
107,125,R125,CH3OH,0.3
108,125,C2H5O2,R125,-1
129,125,R125,CH3CHO,0.8
146,125,R125,CH2O,0.7
149,125,R125,HO2,1
155,125,CH3O2,R125,-1
11,126,R126,RO2_HO2,1
53,126,R126,C2H5OOH,1
108,126,C2H5O2,R126,-1
149,126,HO2,R126,-1
12,127,R127,RO2_NO,1
108,127,C2H5O2,R127,-1
129,127,R127,CH3CHO,1
147,127,R127,NO2,1
149,127,R127,HO2,1
153,127,NO,R127,-1
13,128,R128,VOC_OH,1
40,128,C2H5OH,R128,-1
129,128,R128,CH3CHO,1
148,128,OH,R128,-1
149,128,R128,HO2,1
13,129,R129,VOC_OH,1
53,129,C2H5OOH,R129,-1
108,129,R129,C2H5O2,0.5
129,129,R129,CH3CHO,0.5
148,129,OH,R129,-1
148,129,R129,OH,0.5
13,130,R130,VOC_OH,1
15,130,C2H6,R130,-1
108,130,R130,C2H5O2,1
148,130,OH,R130,-1
70,131,R131,HNO3,1
129,131,CH3CHO,R131,-1
150,131,NO3,R131,-1
152,131,R131,CH3CO3,1
13,132,R132,VOC_OH,1
129,132,CH3CHO,R132,-1
148,132,OH,R132,-1
152,132,R132,CH3CO3,1
13,133,R133,VOC_OH,1
17,133,CH3CN,R133,-1
148,133,OH,R133,-1
149,133,R133,HO2,1
10,134,R134,RO2_RO2,1
152,134,CH3CO3,R134,-2
155,134,R134,CH3O2,2
10,135,R135,RO2_RO2,1
61,135,R135,CH3COOH,0.1
146,135,R135,CH2O,1
149,135,R135,HO2,0.9
152,135,CH3CO3,R135,-1
155,135,CH3O2,R135,-1
155,135,R135,CH3O2,0.9
11,136,R136,RO2_HO2,1
61,136,R136,CH3COOH,0.15
68,136,R136,CH3COOOH,0.4
148,136,R136,OH,0.45
149,136,HO2,R136,-1
151,136,R136,O3,0.15
152,136,CH3CO3,R136,-1
155,136,R136,CH3O2,0.45
12,137,R137,RO2_NO,1
147,137,R137,NO2,1
152,137,CH3CO3,R137,-1
153,137,NO,R137,-1
155,137,R137,CH3O2,1
13,138,R138,VOC_OH,1
61,138,CH3COOH,R138,-1
148,138,OH,R138,-1
155,138,R138,CH3O2,1
13,139,R139,VOC_OH,1
68,139,CH3COOOH,R139,-1
146,139,R139,CH2O,0.5
148,139,OH,R139,-1
152,139,R139,CH3CO3,0.5
11,140,R140,RO2_HO2,1
20,140,R140,EOOH,1
90,140,EO2,R140,-1
149,140,HO2,R140,-1
12,141,R141,RO2_NO,1
42,141,R141,EO,0.75
90,141,EO2,R141,-1
146,141,R141,CH2O,0.5
147,141,R141,NO2,1
149,141,R141,HO2,0.25
153,141,NO,R141,-1
42,142,EO,R142,-1
146,142,R142,CH2O,2
149,142,R142,HO2,1
42,143,EO,R143,-1
124,143,R143,GLYALD,1
149,143,R143,HO2,1
13,144,R144,VOC_OH,1
109,144,R144,GLYOXAL,0.2
124,144,GLYALD,R144,-1
146,144,R144,CH2O,0.8
148,144,OH,R144,-1
149,144,R144,HO2,1
13,145,R145,VOC_OH,1
109,145,GLYOXAL,R145,-1
123,145,R145,CO,1
148,145,OH,R145,-1
149,145,R145,HO2,1
13,146,R146,VOC_OH,1
71,146,PAN,R146,-1
146,146,R146,CH2O,1
148,146,OH,R146,-1
150,146,R146,NO3,1
13,147,R147,VOC_OH,1
60,147,C2H4,R147,-1
90,147,R147,EO2,1
148,147,OH,R147,-1
71,148,R148,PAN,1
147,148,NO2,R148,-1
152,148,CH3CO3,R148,-1
71,149,PAN,R149,-1
147,149,R149,NO2,1
152,149,R149,CH3CO3,1
119,150,R150,NOA,1
128,150,C3H6,R150,-1
150,150,NO3,R150,-1
61,151,R151,CH3COOH,0.12
87,151,R151,CH4,0.1
103,151,R151,HCOOH,0.12
123,151,R151,CO,0.56
128,151,C3H6,R151,-1
129,151,R151,CH3CHO,0.5
146,151,R151,CH2O,0.5
148,151,R151,OH,0.36
149,151,R151,HO2,0.28
151,151,O3,R151,-1
155,151,R151,CH3O2,0.28
10,152,R152,RO2_RO2,1
