! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : MOZART_T1_BiadjacencyMatrix.csv
! Equation file        : MOZART_T1.kpp
! Output root filename : MOZART_T1
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
VOC_OH,13,174,1
ONITR,22,174,1
HONITR,137,174,-1
OH,148,174,-1
HO2,149,174,1
CO,123,175,0.22
GLYALD,124,175,0.53
HYAC,136,175,0.22
CH3COCHO,138,175,0.25
MACRO2,145,175,-1
CH2O,146,175,0.25
HO2,149,175,0.47
CH3CO3,152,175,-0.47
CH3O2,155,175,1
CH3OH,107,176,0.25
CO,123,176,0.11
GLYALD,124,176,0.26
HYAC,136,176,0.23
CH3COCHO,138,176,0.24
MACRO2,145,176,-1
CH2O,146,176,0.88
HO2,149,176,0.73
CH3CO3,152,176,0.26
CH3O2,155,176,-1
MACROOH,48,177,1
MACRO2,145,177,-1
HO2,149,177,-1
CO,123,178,0.22
GLYALD,124,178,0.53
HYAC,136,178,0.22
CH3COCHO,138,178,0.25
MACRO2,145,178,-1
CH2O,146,178,0.25
NO2,147,178,1
HO2,149,178,0.47
NO3,150,178,-1
CH3CO3,152,178,0.53
CO,123,179,0.22
GLYALD,124,179,0.53
HYAC,136,179,0.22
CH3COCHO,138,179,0.25
MACRO2,145,179,-1
CH2O,146,179,0.25
NO2,147,179,1
HO2,149,179,0.47
CH3CO3,152,179,0.53
NO,153,179,-1
HONITR,137,180,1
MACRO2,145,180,-1
NO,153,180,-1
HCOOH,103,181,0.33
CO,123,181,0.65
CH3COCHO,138,181,0.88
MACR,143,181,-1
CH2O,146,181,0.12
OH,148,181,0.24
HO2,149,181,0.14
O3,151,181,-1
CH3CO3,152,181,0.1
VOC_OH,13,182,1
MACR,143,182,-1
MACRO2,145,182,0.5
OH,148,182,-1
MCO3,154,182,0.5
VOC_OH,13,183,1
MACROOH,48,183,-1
MACRO2,145,183,0.2
OH,148,183,-0.9
HO2,149,183,0.2
MCO3,154,183,0.5
CH2O,146,184,1
MCO3,154,184,-1
CH3O2,155,184,1
CH2O,146,185,2
HO2,149,185,1
CH3CO3,152,185,1
MCO3,154,185,-1
CH3O2,155,185,-1
CH3COOH,61,186,0.15
CH3COOOH,68,186,0.4
CH2O,146,186,0.45
OH,148,186,0.45
HO2,149,186,-1
O3,151,186,0.15
CH3CO3,152,186,0.45
MCO3,154,186,-1
CH2O,146,187,2
CH3CO3,152,187,2
MCO3,154,187,-2
CH2O,146,188,1
NO2,147,188,1
CH3CO3,152,188,1
NO,153,188,-1
MCO3,154,188,-1
CH2O,146,189,1
NO2,147,189,1
NO3,150,189,-1
CH3CO3,152,189,1
MCO3,154,189,-1
RO2_HO2,11,190,1
MEKOOH,49,190,0.8
MEKO2,95,190,-1
CH3CHO,129,190,0.2
OH,148,190,0.2
HO2,149,190,-1
CH3CO3,152,190,0.2
RO2_NO,12,191,1
MEKO2,95,191,-1
CH3CHO,129,191,1
NO2,147,191,1
CH3CO3,152,191,1
NO,153,191,-1
VOC_OH,13,192,1
MEK,78,192,-1
MEKO2,95,192,1
OH,148,192,-1
MEKOOH,49,193,-1
MEKO2,95,193,1
OH,148,193,-1
VOC_OH,13,194,1
MPAN,84,194,-1
HYAC,136,194,0.5
CH2O,146,194,0.5
OH,148,194,-1
HO2,149,194,0.5
NO3,150,194,0.5
HCOOH,103,195,0.12
CO,123,195,0.56
CH3CHO,129,195,0.1
CH3COCHO,138,195,0.5
MVK,144,195,-1
CH2O,146,195,0.6
OH,148,195,0.36
HO2,149,195,0.28
O3,151,195,-1
CH3CO3,152,195,0.28
VOC_OH,13,196,1
MVK,144,196,-1
MACRO2,145,196,1
OH,148,196,-1
MPAN,84,197,1
NO2,147,197,-1
MCO3,154,197,-1
MPAN,84,198,-1
NO2,147,198,1
MCO3,154,198,1
ALKNIT,93,199,-1
CH3COCH3,122,199,0.8
CH3CHO,129,199,0.8
CH2O,146,199,0.4
NO2,147,199,1
OH,148,199,-1
RO2_HO2,11,200,1
ALKOOH,94,200,1
ALKO2,121,200,-1
HO2,149,200,-1
RO2_NO,12,201,1
MEK,78,201,0.8
ALKO2,121,201,-1
CH3COCH3,122,201,0.25
CH3CHO,129,201,0.4
CH2O,146,201,0.1
NO2,147,201,1
HO2,149,201,1
NO,153,201,-1
RO2_NO,12,202,1
ALKNIT,93,202,1
ALKO2,121,202,-1
NO,153,202,-1
VOC_OH,13,203,1
ALKOOH,94,203,-1
ALKO2,121,203,1
OH,148,203,-1
VOC_OH,13,204,1
BIGALK,58,204,-1
ALKO2,121,204,1
OH,148,204,-1
VOC_OH,13,205,1
HPALD,37,205,-1
XO2,139,205,1
OH,148,205,-1
VOC_OH,13,206,1
HYDRALD,46,206,-1
XO2,139,206,1
OH,148,206,-1
VOC_OH,13,207,1
IEPOX,21,207,-1
XO2,139,207,1
OH,148,207,-1
RO2_RO2,10,208,1
ISOPAO2,140,208,-1
MACR,143,208,0.39
MVK,144,208,0.61
CH2O,146,208,1
HO2,149,208,1
CH3CO3,152,208,-1
CH3O2,155,208,1
RO2_RO2,10,209,1
CH3OH,107,209,0.25
ISOPAO2,140,209,-1
MACR,143,209,0.31
MVK,144,209,0.44
CH2O,146,209,1.5
HO2,149,209,1
CH3O2,155,209,-1
RO2_HO2,11,210,1
ISOPOOH,97,210,1
ISOPAO2,140,210,-1
HO2,149,210,-1
RO2_NO,12,211,1
ISOPNITA,85,211,0.08
ISOPAO2,140,211,-1
MACR,143,211,0.36
MVK,144,211,0.56
CH2O,146,211,0.92
NO2,147,211,0.92
HO2,149,211,0.92
NO,153,211,-1
ISOPAO2,140,212,-1
MACR,143,212,0.4
MVK,144,212,0.6
CH2O,146,212,1
NO2,147,212,1
HO2,149,212,1
NO3,150,212,-1
RO2_RO2,10,213,1
HYDRALD,46,213,1
ISOPBO2,141,213,-1
HO2,149,213,1
CH3CO3,152,213,-1
CH3O2,155,213,1
RO2_RO2,10,214,1
HYDRALD,46,214,0.75
