species_index,reaction_index,source,target,directed_stoichiometric_value
134,147,R147,OP1,0.0385
46,147,R147,ORA1,0.028
164,148,LIM,R148,-1.0
195,148,O3,R148,-1.0
188,148,R148,HO,0.66
28,148,R148,LIMAL,0.66
81,148,R148,ACO3,0.33
65,148,R148,HCHO,0.33
62,148,R148,RCO3,0.33
49,148,R148,H2O2,0.33
163,148,R148,ORA2,0.01
28,149,LIMAL,R149,-1.0
195,149,O3,R149,-1.0
188,149,R149,HO,0.09
97,149,R149,ALD,1.0
65,149,R149,HCHO,0.62
134,149,R149,OP1,0.23
49,149,R149,H2O2,0.02
46,149,R149,ORA1,0.15
115,150,TRPN,R150,-1.0
195,150,O3,R150,-1.0
19,150,R150,HONIT,0.33
126,150,R150,NO2,0.67
165,150,R150,PINAL,0.27
53,150,R150,KET,0.38
65,150,R150,HCHO,0.21
97,150,R150,ALD,0.02
83,151,MACR,R151,-1.0
195,151,O3,R151,-1.0
188,151,R151,HO,0.19
142,151,R151,HO2,0.14
81,151,R151,ACO3,0.1
150,151,R151,CO,0.22
174,151,R151,MGLY,0.5
46,151,R151,ORA1,0.45
113,152,MVK,R152,-1.0
195,152,O3,R152,-1.0
188,152,R152,HO,0.16
142,152,R152,HO2,0.11
81,152,R152,ACO3,0.28
176,152,R152,XO2,0.01
150,152,R152,CO,0.56
65,152,R152,HCHO,0.1
174,152,R152,MGLY,0.54
46,152,R152,ORA1,0.07
163,152,R152,ORA2,0.07
97,152,R152,ALD,0.1
132,153,UALD,R153,-1.0
195,153,O3,R153,-1.0
188,153,R153,HO,0.1
142,153,R153,HO2,0.072
128,153,R153,MO2,0.008
81,153,R153,ACO3,0.002
176,153,R153,XO2,0.1
150,153,R153,CO,0.243
65,153,R153,HCHO,0.08
50,153,R153,ACD,0.42
53,153,R153,KET,0.028
108,153,R153,GLY,0.491
174,153,R153,MGLY,0.003
46,153,R153,ORA1,0.044
68,154,DCB1,R154,-1.0
195,154,O3,R154,-1.0
188,154,R154,HO,0.05
142,154,R154,HO2,1.0
62,154,R154,RCO3,0.6
176,154,R154,XO2,0.6
150,154,R154,CO,1.5
65,154,R154,HCHO,0.05
108,154,R154,GLY,0.05
174,154,R154,MGLY,0.08
159,154,R154,OP2,0.65
34,155,DCB2,R155,-1.0
195,155,O3,R155,-1.0
188,155,R155,HO,0.05
142,155,R155,HO2,1.0
62,155,R155,RCO3,0.6
176,155,R155,XO2,0.6
150,155,R155,CO,1.5
65,155,R155,HCHO,0.05
108,155,R155,GLY,0.05
174,155,R155,MGLY,0.08
68,155,R155,DCB1,0.7
159,155,R155,OP2,0.65
189,156,DCB3,R156,-1.0
195,156,O3,R156,-1.0
188,156,R156,HO,0.05
142,156,R156,HO2,1.0
150,156,R156,CO,1.5
108,156,R156,GLY,0.48
68,156,R156,DCB1,0.7
46,156,R156,ORA1,0.25
163,156,R156,ORA2,0.25
133,156,R156,PAA,0.11
71,157,MCTO,R157,-1.0
195,157,O3,R157,-1.0
153,157,R157,MCTP,1.0
54,158,ETE,R158,-1.0
110,158,NO3,R158,-1.0
66,158,R158,OLNN,0.8
161,158,R158,OLND,0.2
136,159,OLT,R159,-1.0
110,159,NO3,R159,-1.0
66,159,R159,OLNN,0.43
161,159,R159,OLND,0.57
121,160,OLI,R160,-1.0
110,160,NO3,R160,-1.0
66,160,R160,OLNN,0.11
161,160,R160,OLND,0.89
4,161,API,R161,-1.0
110,161,NO3,R161,-1.0
47,161,R161,APINP1,0.975
57,161,R161,APINP2,0.025
164,162,LIM,R162,-1.0
110,162,NO3,R162,-1.0
109,162,R162,LIMNP1,0.945
32,162,R162,LIMNP2,0.055
115,163,TRPN,R163,-1.0
110,163,NO3,R163,-1.0
19,163,R163,HONIT,0.33
126,163,R163,NO2,0.67
165,163,R163,PINAL,0.27
53,163,R163,KET,0.38
65,163,R163,HCHO,0.21
97,163,R163,ALD,0.02
65,164,HCHO,R164,-1.0
110,164,NO3,R164,-1.0
142,164,R164,HO2,1.0
150,164,R164,CO,1.0
11,164,R164,HNO3,1.0
50,165,ACD,R165,-1.0
110,165,NO3,R165,-1.0
81,165,R165,ACO3,1.0
11,165,R165,HNO3,1.0
97,166,ALD,R166,-1.0
110,166,NO3,R166,-1.0
62,166,R166,RCO3,1.0
11,166,R166,HNO3,1.0
83,167,MACR,R167,-1.0
110,167,NO3,R167,-1.0
65,167,R167,HCHO,0.68
55,167,R167,MACP,0.32
176,167,R167,XO2,0.68
174,167,R167,MGLY,0.68
11,167,R167,HNO3,0.32
126,167,R167,NO2,0.68
132,168,UALD,R168,-1.0
110,168,NO3,R168,-1.0
142,168,R168,HO2,1.0
176,168,R168,XO2,1.0
150,168,R168,CO,0.668
65,168,R168,HCHO,0.332
97,168,R168,ALD,0.332
90,168,R168,ONIT,1.0
108,169,GLY,R169,-1.0
110,169,NO3,R169,-1.0
142,169,R169,HO2,1.0
150,169,R169,CO,2.0
11,169,R169,HNO3,1.0
174,170,MGLY,R170,-1.0
110,170,NO3,R170,-1.0
81,170,R170,ACO3,1.0
150,170,R170,CO,1.0
11,170,R170,HNO3,1.0
183,171,PHEN,R171,-1.0
110,171,NO3,R171,-1.0
143,171,R171,ASOATJ,0.152
78,171,R171,CHO,0.339
151,171,R171,ADDC,0.85
36,171,R171,ADCN,0.424
11,171,R171,HNO3,0.424
20,172,CSL,R172,-1.0
110,172,NO3,R172,-1.0
143,172,R172,ASOATJ,0.2
78,172,R172,CHO,0.32
151,172,R172,ADDC,0.08
36,172,R172,ADCN,0.4
11,172,R172,HNO3,0.4
186,173,MCT,R173,-1.0
110,173,NO3,R173,-1.0
71,173,R173,MCTO,1.0
11,173,R173,HNO3,1.0
89,174,MPAN,R174,-1.0
110,174,NO3,R174,-1.0
55,174,R174,MACP,1.0
126,174,R174,NO2,1.0
33,175,PINALP,R175,-1.0
42,175,R175,HOM,1.0
140,176,LIMALP,R176,-1.0
42,176,R176,HOM,1.0
81,177,ACO3,R177,-1.0
126,177,NO2,R177,-1.0
70,177,R177,PAN,1.0
70,178,PAN,R178,-1.0
81,178,R178,ACO3,1.0
126,178,R178,NO2,1.0
62,179,RCO3,R179,-1.0
126,179,NO2,R179,-1.0
130,179,R179,PPN,1.0
130,180,PPN,R180,-1.0
62,180,R180,RCO3,1.0
126,180,R180,NO2,1.0
55,181,MACP,R181,-1.0
126,181,NO2,R181,-1.0
89,181,R181,MPAN,1.0
89,182,MPAN,R182,-1.0
55,182,R182,MACP,1.0
126,182,R182,NO2,1.0
128,183,MO2,R183,-1.0
119,183,NO,R183,-1.0
142,183,R183,HO2,1.0
126,183,R183,NO2,1.0
65,183,R183,HCHO,1.0
18,184,ETHP,R184,-1.0
119,184,NO,R184,-1.0
142,184,R184,HO2,1.0
126,184,R184,NO2,1.0
50,184,R184,ACD,1.0
41,185,HC3P,R185,-1.0
119,185,NO,R185,-1.0
142,185,R185,HO2,0.66
128,185,R185,MO2,0.131
18,185,R185,ETHP,0.048
176,185,R185,XO2,0.089
126,185,R185,NO2,0.935
50,185,R185,ACD,0.504
97,185,R185,ALD,0.132
27,185,R185,ACT,0.165
56,185,R185,MEK,0.042
90,185,R185,ONIT,0.065
120,186,HC5P,R186,-1.0
119,186,NO,R186,-1.0
142,186,R186,HO2,0.2
128,186,R186,MO2,0.051
18,186,R186,ETHP,0.231
176,186,R186,XO2,0.235
