original r_id,species_index,reaction_index,source,target,directed_stoichiometric_value
TRP57,139,146,R146,DELTA_C %2,7.0
R126,13,147,ETE,R147,-1.0
R126,209,147,O3,R147,-1.0
R126,182,147,R147,HO,0.08
R126,187,147,R147,HO2,0.15
R126,97,147,R147,CO,0.63
R126,90,147,R147,HCHO,1.0
R126,10,147,R147,ORA1,0.37
R127,14,148,OLT,R148,-1.0
R127,209,148,O3,R148,-1.0
R127,182,148,R148,HO,0.22
R127,187,148,R148,HO2,0.32
R127,26,148,R148,MO2,0.08
R127,32,148,R148,ETHP,0.06
R127,116,148,R148,HC3P,0.04
R127,149,148,R148,HC5P,0.02
R127,162,148,R148,H2O2,0.068
R127,97,148,R148,CO,0.43
R127,131,148,R148,ETH,0.02
R127,199,148,R148,HC3,0.015
R127,160,148,R148,HC5,0.006
R127,28,148,R148,BEN,0.032
R127,90,148,R148,HCHO,0.56
R127,186,148,R148,ACD,0.01
R127,190,148,R148,ALD,0.44
R127,5,148,R148,ACT,0.03
R127,51,148,R148,BALD,0.02
R127,94,148,R148,MEK,0.06
R127,57,148,R148,HKET,0.01
R127,10,148,R148,ORA1,0.03
R127,177,148,R148,ORA2,0.06
R128,121,149,OLI,R149,-1.0
R128,209,149,O3,R149,-1.0
R128,182,149,R149,HO,0.46
R128,187,149,R149,HO2,0.07
R128,26,149,R149,MO2,0.32
R128,32,149,R149,ETHP,0.07
R128,116,149,R149,HC3P,0.04
R128,30,149,R149,ACO3,0.09
R128,97,149,R149,CO,0.37
R128,162,149,R149,H2O2,0.026
R128,131,149,R149,ETH,0.01
R128,199,149,R149,HC3,0.01
R128,90,149,R149,HCHO,0.09
R128,186,149,R149,ACD,0.457
R128,190,149,R149,ALD,0.73
R128,5,149,R149,ACT,0.11
R128,188,149,R149,KET,0.017
R128,57,149,R149,HKET,0.044
R128,177,149,R149,ORA2,0.017
R131,193,150,API,R150,-1.0
R131,209,150,O3,R150,-1.0
R131,182,150,R150,HO,0.6055
R131,69,150,R150,PINALP,0.2145
R131,162,150,R150,H2O2,0.255
R131,154,150,R150,PINAL,0.2535
R131,177,150,R150,ORA2,0.0065
R131,187,150,R150,HO2,0.1105
R131,97,150,R150,CO,0.1105
R131,90,150,R150,HCHO,0.459
R131,18,150,R150,APIP1,0.2305
R131,161,150,R150,APIP2,0.05
R131,188,150,R150,KET,0.1785
R131,199,150,R150,HC3,0.0665
R131,205,150,R150,OP1,0.0385
R131,10,150,R150,ORA1,0.028
R132,141,151,LIM,R151,-1.0
R132,209,151,O3,R151,-1.0
R132,182,151,R151,HO,0.66
R132,171,151,R151,LIMAL,0.66
R132,30,151,R151,ACO3,0.33
R132,90,151,R151,HCHO,0.33
R132,34,151,R151,LIMP1,0.22
R132,103,151,R151,LIMP2,0.11
R132,162,151,R151,H2O2,0.33
R132,177,151,R151,ORA2,0.01
TRP08,171,152,LIMAL,R152,-1.0
