! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Dense species-by-atom composition matrix (variable species only) in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_SpeciesCompositionMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_index,species_name,IGNORE,H,C,N,O,S,Cl,Br
264,HO2M2C5OH,0,14,6,0,2,0,0,0
265,H2M2C4CO2H,0,12,6,0,3,0,0,0
266,C54OH,0,12,5,0,3,0,0,0
267,HOBUT2CO2H,0,10,5,0,3,0,0,0
268,M3PEAOH,0,14,6,0,1,0,0,0
269,HO14M3C5,0,14,6,0,2,0,0,0
270,H2M3C4CO2H,0,12,6,0,3,0,0,0
271,C56OH,0,12,5,0,3,0,0,0
272,C68OH,0,12,6,0,3,0,0,0
273,HO2C43CO2H,0,10,5,0,3,0,0,0
274,M3PEBOH,0,14,6,0,1,0,0,0
275,M2BKAOH,0,12,6,0,2,0,0,0
276,C51CO2H,0,10,6,0,3,0,0,0
277,M22C4OH,0,14,6,0,1,0,0,0
278,HM22C3CO2H,0,12,6,0,3,0,0,0
279,HM22C3OH,0,12,5,0,2,0,0,0
280,HM22CO2H,0,10,5,0,3,0,0,0
281,M33C4OH,0,14,6,0,1,0,0,0
282,M33C3CO2H,0,12,6,0,2,0,0,0
283,HM33C3CO2H,0,12,6,0,3,0,0,0
284,M22C43OH,0,14,6,0,1,0,0,0
285,M23C4OH,0,14,6,0,1,0,0,0
286,HM23C4OH,0,14,6,0,2,0,0,0
287,M2C43CO2H,0,12,6,0,2,0,0,0
288,HM2C43CO2H,0,12,6,0,3,0,0,0
289,NC7H16,0,16,7,0,0,0,0,0
290,HEPTOH,0,16,7,0,1,0,0,0
291,HO25C7,0,16,7,0,2,0,0,0
292,M2HEXAOH,0,16,7,0,1,0,0,0
293,M2HEXBO,0,15,7,0,1,0,0,0
294,M3HEXAOH,0,16,7,0,1,0,0,0
295,M3HEXBO,0,15,7,0,1,0,0,0
296,H14M4C6,0,16,7,0,2,0,0,0
297,H3M3C5CO2H,0,14,7,0,3,0,0,0
298,H13M3C5,0,14,6,0,2,0,0,0
299,H134M3C5,0,14,6,0,3,0,0,0
300,NC8H18,0,18,8,0,0,0,0,0
301,OCTOH,0,18,8,0,1,0,0,0
302,HO36C8,0,18,8,0,2,0,0,0
303,NC9H20,0,20,9,0,0,0,0,0
304,NONOH,0,20,9,0,1,0,0,0
305,HO36C9,0,20,9,0,2,0,0,0
306,NC10H22,0,22,10,0,0,0,0,0
307,DECOH,0,22,10,0,1,0,0,0
308,HO36C10,0,22,10,0,2,0,0,0
309,NC11H24,0,24,11,0,0,0,0,0
310,UDECOH,0,24,11,0,1,0,0,0
311,HO36C11,0,24,11,0,2,0,0,0
312,NC12H26,0,26,12,0,0,0,0,0
313,NEOP,0,12,5,0,0,0,0,0
314,DDECOH,0,26,12,0,1,0,0,0
315,HO36C12,0,26,12,0,2,0,0,0
316,C6H13CO2H,0,14,7,0,2,0,0,0
317,CHEX,0,12,6,0,0,0,0,0
318,ETHGLY,0,6,2,0,2,0,0,0
319,CH3CCH3OOA,0,6,3,0,2,0,0,0
320,C2H5MECOOA,0,8,4,0,2,0,0,0
321,H2,0,2,0,0,0,0,0,0
322,CH3CCH3OOB,0,6,3,0,2,0,0,0
323,BUTDAOH,0,8,4,0,2,0,0,0
324,CO1C6OH,0,12,6,0,2,0,0,0
325,NEOPOH,0,12,5,0,1,0,0,0
326,HOIPRCO2H,0,8,4,0,3,0,0,0
327,CO2M33CO2H,0,10,6,0,3,0,0,0
328,BUT2OLOH,0,10,4,0,2,0,0,0
329,C3ME3CO2H,0,10,5,0,2,0,0,0
330,CYHXDIOLA,0,12,6,0,2,0,0,0
331,CH3OCH2OH,0,6,2,0,2,0,0,0
332,DIETETOH,0,10,4,0,2,0,0,0
333,ETHFORMOH,0,6,3,0,3,0,0,0
334,MTBEAOH,0,12,5,0,2,0,0,0
335,MTBEACHOHO,0,10,5,0,3,0,0,0
336,MTBEALCO2H,0,8,5,0,4,0,0,0
337,MTBEBOH,0,12,5,0,2,0,0,0
338,MTBEBCO2H,0,10,5,0,3,0,0,0
339,HOC4H8OH,0,10,4,0,2,0,0,0
340,ETBEAOH,0,14,6,0,2,0,0,0
341,ETBEBOH,0,14,6,0,2,0,0,0
342,MO2EOLA2OH,0,8,3,0,3,0,0,0
343,MO2EOLB2OH,0,8,3,0,3,0,0,0
344,CHOOMCO2H,0,6,3,0,4,0,0,0
345,MEMOXYCO2H,0,6,3,0,3,0,0,0
346,EOX2ETA2OH,0,10,4,0,3,0,0,0
347,EOX2ETB2OH,0,10,4,0,3,0,0,0
348,ETOMECO2H,0,8,4,0,3,0,0,0
349,ETOMEOH,0,8,3,0,2,0,0,0
350,PROH2MOX,0,10,4,0,3,0,0,0
351,BOXOHETOH,0,14,6,0,3,0,0,0
352,BOX2E2OH,0,14,6,0,3,0,0,0
353,BOXMCO2H,0,12,6,0,3,0,0,0
354,BOXMOH,0,12,5,0,2,0,0,0
355,BUOHFORM,0,10,5,0,3,0,0,0
356,BOXOHPROL,0,16,7,0,3,0,0,0
357,BOXPR2OH,0,16,7,0,3,0,0,0
358,BOXPRONOH,0,14,7,0,3,0,0,0
359,CHOOCH2OH,0,4,2,0,3,0,0,0
360,METACETOH,0,6,3,0,3,0,0,0
361,ETHACETOH,0,8,4,0,3,0,0,0
362,NPRACAOH,0,10,5,0,3,0,0,0
363,ACPRONEOH,0,8,5,0,4,0,0,0
364,NPRACBOH,0,10,5,0,3,0,0,0
365,ACETCOC2H5,0,8,5,0,3,0,0,0
366,NPRACCOH,0,10,5,0,3,0,0,0
367,ACETC2CO2H,0,8,5,0,4,0,0,0
368,IPRACBOH,0,10,5,0,3,0,0,0
369,IPRACBCO2H,0,8,5,0,4,0,0,0
370,NBUACAOH,0,12,6,0,3,0,0,0
371,NBUACBOH,0,12,6,0,3,0,0,0
372,NBUACCOH,0,12,6,0,3,0,0,0
373,SBUACBOH,0,12,6,0,3,0,0,0
374,TBUACOH,0,12,6,0,3,0,0,0
375,CH2CLOH,0,3,1,0,1,0,1,0
376,CHCL2OH,0,2,1,0,1,0,2,0
377,HONO,0,1,0,1,2,0,0,0
378,CCL3CH2OH,0,3,2,0,1,0,3,0
379,HOC3H6CO2H,0,8,4,0,3,0,0,0
380,C2CL2OH2,0,4,2,0,2,0,2,0
381,HOCH2COCO2H,0,4,3,0,4,0,0,0
382,C96O,0,15,9,0,2,0,0,0
383,C97O,0,15,9,0,3,0,0,0
384,C97OH,0,16,9,0,3,0,0,0
385,C98OH,0,16,9,0,4,0,0,0
386,PINALOH,0,16,10,0,3,0,0,0
387,PINALO,0,15,10,0,3,0,0,0
