! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : mcm_BiadjacencyMatrix.csv
! Equation file        : mcm.kpp
! Output root filename : mcm
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



spc_name,species_index,reaction_index,stoichiometric_coefficient
NO2,5831,148,1
NO3,5832,148,-1
HO1C3OOH,2078,149,1
HO1C3O2,5603,149,-1
HO2,5825,149,-1
HO1C3O,1790,150,1
HO1C3O2,5603,150,-1
HO1C3O2,5603,151,-1
HOC2H4CHO,5756,151,1
HOC3H6OH,389,152,1
HO1C3O2,5603,152,-1
C4PAN1,2925,153,-1
HOC2H4CHO,5756,153,1
OH,5824,153,-1
CO,5828,153,1
NO2,5831,153,1
HO1C3NO3,2051,154,-1
HOC2H4CHO,5756,154,1
OH,5824,154,-1
NO2,5831,154,1
HO1C3O,1790,155,1
HO1C3NO3,2051,155,-1
NO2,5831,155,1
HOC3H6CO3H,1136,156,-1
HOC3H6CO3,5543,156,1
OH,5824,156,-1
HOC3H6CO3H,1136,157,-1
HO1C3O2,5603,157,1
OH,5824,157,1
HOC3H6CO2H,379,158,-1
HO1C3O2,5603,158,1
OH,5824,158,-1
HO1C3OOH,2078,159,-1
HO1C3O2,5603,159,1
OH,5824,159,-1
HO1C3OOH,2078,160,-1
HOC2H4CHO,5756,160,1
HO1C3O,1790,161,1
HO1C3OOH,2078,161,-1
OH,5824,161,1
HOC3H6OH,389,162,-1
HOC2H4CHO,5756,162,1
OH,5824,162,-1
HO2,5825,162,1
HOC2H4CHO,5756,163,-1
HOCH2CH2O2,5767,163,1
HO2,5825,163,1
CO,5828,163,1
HOC2H4CHO,5756,164,-1
HOC2H4CO3,5814,164,1
OH,5824,164,-1
HOC2H4CHO,5756,165,-1
HNO3,5772,165,1
HOC2H4CO3,5814,165,1
NO3,5832,165,-1
HOCH2CH2O2,5767,166,1
HOC2H4CO3,5814,166,-1
NO,5826,166,-1
NO2,5831,166,1
C3PAN1,3162,167,1
HOC2H4CO3,5814,167,-1
NO2,5831,167,-1
C3PAN1,3162,168,-1
HOC2H4CO3,5814,168,1
NO2,5831,168,1
HOCH2CH2O2,5767,169,1
HOC2H4CO3,5814,169,-1
NO2,5831,169,1
NO3,5832,169,-1
HOC2H4CO3H,1168,170,1
HOC2H4CO3,5814,170,-1
HO2,5825,170,-1
HOC2H4CO2H,395,171,1
HOC2H4CO3,5814,171,-1
HO2,5825,171,-1
O3,5830,171,1
HOCH2CH2O2,5767,172,1
HOC2H4CO3,5814,172,-1
HOC2H4CO2H,395,173,1
HOC2H4CO3,5814,173,-1
C3PAN1,3162,174,-1
HOCH2CHO,5811,174,1
OH,5824,174,-1
CO,5828,174,1
NO2,5831,174,1
HOC2H4CO3H,1168,175,-1
HOC2H4CO3,5814,175,1
OH,5824,175,-1
HOC2H4CO3H,1168,176,-1
HOCH2CH2O2,5767,176,1
OH,5824,176,1
HOC2H4CO2H,395,177,-1
HOCH2CH2O2,5767,177,1
OH,5824,177,-1
SC4H9O,3795,178,1
SC4H9O2,5684,178,-1
NO,5826,178,-1
NO2,5831,178,1
SC4H9NO3,2153,179,1
SC4H9O2,5684,179,-1
NO,5826,179,-1
SC4H9O,3795,180,-1
MEK,5614,180,1
HO2,5825,180,1
SC4H9O,3795,181,-1
C2H5O2,5705,181,1
CH3CHO,5764,181,1
SC4H9O,3795,182,1
SC4H9O2,5684,182,-1
NO2,5831,182,1
NO3,5832,182,-1
SC4H9OOH,2156,183,1
SC4H9O2,5684,183,-1
HO2,5825,183,-1
SC4H9O,3795,184,1
SC4H9O2,5684,184,-1
MEK,5614,185,1
SC4H9O2,5684,185,-1
BUT2OL,760,186,1
SC4H9O2,5684,186,-1
SC4H9NO3,2153,187,-1
MEK,5614,187,1
OH,5824,187,-1
NO2,5831,187,1
SC4H9NO3,2153,188,-1
SC4H9O,3795,188,1
NO2,5831,188,1
SC4H9OOH,2156,189,-1
SC4H9O2,5684,189,1
OH,5824,189,-1
SC4H9OOH,2156,190,-1
MEK,5614,190,1
SC4H9OOH,2156,191,-1
SC4H9O,3795,191,1
OH,5824,191,1
IC4H10,762,192,-1
IC4H9O2,5309,192,1
OH,5824,192,-1
IC4H10,762,193,-1
TC4H9O2,5469,193,1
OH,5824,193,-1
IC4H9O,1819,194,1
IC4H9O2,5309,194,-1
NO,5826,194,-1
NO2,5831,194,1
IC4H9NO3,2186,195,1
IC4H9O2,5309,195,-1
NO,5826,195,-1
IC4H9O,1819,196,-1
IPRCHO,5773,196,1
HO2,5825,196,1
IC4H9O,1819,197,1
IC4H9O2,5309,197,-1
NO2,5831,197,1
NO3,5832,197,-1
IC4H9OOH,2191,198,1
IC4H9O2,5309,198,-1
HO2,5825,198,-1
IC4H9O,1819,199,1
IC4H9O2,5309,199,-1
IC4H9O2,5309,200,-1
