! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Sparse Biadjacency Matrix, aka Stoichiometric Matrix, in CSV format
! 
! Generated by KPP-3.4.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
!        P.O. Sturm,  Univ. of Southern California, Los Angeles, CA, USA
! 
! File                 : CBMZ_BiadjacencyMatrix.csv
! Equation file        : CBMZ.kpp
! Output root filename : CBMZ
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



species_name,species_index,reaction_index,stoichiometric_coefficient
CH3O2,55,94,0.7
OH,67,94,-0.7
ETHOOH,33,95,-1
ETHP,52,95,0.7
ALD2,54,95,0.3
OH,67,95,-0.7
XPAR,30,96,0.42
MGLY,53,96,0.19
ALD2,54,96,0.04
RO2,61,96,0.77
ROOH,66,96,-1
OH,67,96,-0.77
NAP,51,97,1
ONIT,57,97,-1
OH,67,97,-1
PAN,18,98,1
C2O3,58,98,-1
NO2,59,98,-1
PAN,18,99,-1
C2O3,58,99,1
NO2,59,99,1
CH3OH,35,100,-1
HCHO,47,100,1
HO2,65,100,1
OH,67,100,-1
HCHO,47,101,1
CH3O2,55,101,-1
NO2,59,101,1
NO,63,101,-1
HO2,65,101,1
ETHP,52,102,-1
ALD2,54,102,1
NO2,59,102,1
NO,63,102,-1
HO2,65,102,1
XPAR,30,103,1.68
XO2,48,103,0.34
AONE,49,103,0.62
ETHP,52,103,0.08
ALD2,54,103,0.25
ONIT,57,103,0.16
NO2,59,103,0.84
RO2,61,103,-1
NO,63,103,-1
HO2,65,103,0.76
CH3O2,55,104,1
C2O3,58,104,-1
NO2,59,104,1
NO,63,104,-1
HCHO,47,105,1
C2O3,58,105,1
NO2,59,105,1
ANO2,62,105,-1
NO,63,105,-1
XPAR,30,106,1
HCHO,47,106,0.5
NAP,51,106,-1
ALD2,54,106,0.5
ONIT,57,106,0.5
NO2,59,106,1.5
NO,63,106,-1
HO2,65,106,0.5
XO2,48,107,-1
NO2,59,107,1
NO,63,107,-1
HCHO,47,108,1
CH3O2,55,108,-1
NO2,59,108,1
NO3,60,108,-1
HO2,65,108,1
ETHP,52,109,-1
ALD2,54,109,1
NO2,59,109,1
NO3,60,109,-1
HO2,65,109,1
XPAR,30,110,1.98
XO2,48,110,0.4
AONE,49,110,0.74
ETHP,52,110,0.1
ALD2,54,110,0.3
NO2,59,110,1
NO3,60,110,-1
RO2,61,110,-1
HO2,65,110,0.9
CH3O2,55,111,1
C2O3,58,111,-1
NO2,59,111,1
NO3,60,111,-1
HCHO,47,112,1
C2O3,58,112,1
NO2,59,112,1
NO3,60,112,-1
ANO2,62,112,-1
XPAR,30,113,1
HCHO,47,113,0.5
NAP,51,113,-1
ALD2,54,113,0.5
ONIT,57,113,0.5
NO2,59,113,1.5
NO3,60,113,-1
HO2,65,113,0.5
XO2,48,114,-1
NO2,59,114,1
NO3,60,114,-1
CH3OOH,31,115,1
CH3O2,55,115,-1
HO2,65,115,-1
ETHOOH,33,116,1
ETHP,52,116,-1
HO2,65,116,-1
RO2,61,117,-1
HO2,65,117,-1
ROOH,66,117,1
RCOOH,5,118,0.4
C2O3,58,118,-1
O3,64,118,0.4
HO2,65,118,-1
ANO2,62,119,-1
HO2,65,119,-1
ROOH,66,119,1
NAP,51,120,-1
ONIT,57,120,1
HO2,65,120,-1
DUMMY,14,121,1
XO2,48,121,-1
HO2,65,121,-1
ANOL,17,122,-1
ALD2,54,122,1
HO2,65,122,1
OH,67,122,-1
DUMMY,14,123,1
XPAR,30,123,-1
PAR,41,123,-1
CH3OH,35,127,0.34
HCHO,47,127,0.66
CH3O2,55,127,-1
HO2,65,127,0.32
C2H6,28,128,0.2
ETHP,52,128,-1
ALD2,54,128,0.8
HO2,65,128,0.6
XPAR,30,129,1.25
XO2,48,129,0.24
AONE,49,129,0.57
ETHP,52,129,0.06
ALD2,54,129,0.21
RO2,61,129,-1
HO2,65,129,0.54
CH3O2,55,130,1
C2O3,58,130,-1
HCHO,47,131,0.7
AONE,49,131,0.15
MGLY,53,131,0.15
C2O3,58,131,0.7
ANO2,62,131,-1
XPAR,30,132,1
HCHO,47,132,0.5
NAP,51,132,-1
ALD2,54,132,0.5
ONIT,57,132,0.5
NO2,59,132,0.5
ISOPP,43,133,-1
ISOPRD,56,133,1
ISOPN,40,134,-1
PAR,41,134,2
ALD2,54,134,1
ONIT,57,134,1
ISOPO2,44,135,-1
AONE,49,135,0.5
ALD2,54,135,0.5
DUMMY,14,136,1
XO2,48,136,-1
API1,10,137,0.0064
API2,11,137,0.055
API,25,137,-1
OH,67,137,-1
API,25,138,-1
NO3,60,138,-1
API1,10,139,0.022
API2,11,139,0.19
API,25,139,-1
O3,64,139,-1
LIM1,12,140,0.037
LIM2,13,140,0.056
LIM,26,140,-1
OH,67,140,-1
LIM,26,141,-1
NO3,60,141,-1
LIM1,12,142,0.13
LIM2,13,142,0.19
LIM,26,142,-1
O3,64,142,-1
