Experiment number,Temperature (K),Time (min),O3 [ppb],NO [ppb],NO2 [ppb],HCHO [ppb],HO2 [ppb],H2O2 [ppb],OH [ppb],HNO3 [ppb],CO [ppb],H2 [ppb],ALD2 [ppb],MGLY [ppb],MCO3 [ppb],PAN [ppb],H2O [ppb],O2 [ppb]
948.0,296.1165065946492,2100.0,10.298816356701687,8.910483529296764,4.830119736881163,13.00987284520652,0.0036916707031181477,4.629512341306608,0.0009692078035697636,8.488149479243368,17.442754122142357,1.9235068761524565,1.9809242249805405,16.186264640693587,0.012570022625378124,33.1731470308274,8.804188378000665,2.0999996575944042e8
948.0,296.1165065946492,2400.0,10.80968097964368,7.448881418144053,4.270835544074782,11.922688179806071,0.004215828095440703,4.558103694698122,0.001026697675691118,9.428421044138332,19.425174752490165,2.122879523121575,1.7713057069476297,15.306015539030552,0.014329471615032802,34.253761769891526,9.849156394271995,2.0999996225445747e8
948.0,296.1165065946492,2700.0,11.35178283878997,6.104548257862355,3.7145248483041766,10.882642340999222,0.004934672229143225,4.483819684857592,0.0011027459498649658,10.30803543332085,21.314080494271245,2.306633769502094,1.5721376623965593,14.473637594379193,0.0166050147862402,35.27479123676131,10.867661819087024,2.0999995886617985e8
948.0,296.1165065946492,3000.0,11.931129789671598,4.870483657679721,3.162887878806649,9.880321356856248,0.005966366773737512,4.405532442536251,0.0012052147161541764,11.128303293245978,23.121870770608286,2.4756165220998425,1.381588706726527,13.686531596380409,0.019644611602386928,36.24022494651634,11.871186228816454,2.0999995557237116e8
948.0,296.1165065946492,3300.0,12.55667056656031,3.740687099416883,2.6176539452308694,8.904777402088714,0.007558770018252351,4.321597413525728,0.0013481164475534692,11.889856283437686,24.86254539144048,2.630621124736241,1.1977297356610406,12.942231743534778,0.023910527257073266,37.153702448163244,12.873718984244139,2.0999995234643888e8
948.0,296.1165065946492,3600.0,13.241736548221493,2.709987523449995,2.081357866923856,7.942193225644069,0.010273936794609214,4.229474034106758,0.0015564416228671387,12.592192495874558,26.553183005253004,2.7724258082584115,1.0184001310702626,12.238411555653881,0.030284253148230814,38.01836189000028,13.893741837742386,2.099999491545232e8
949.0,297.00000925452275,0.0,15.32443327239608,12.10345146605391,17.2328417807514,5.013086093634877,0.0042074585404137,6.953753731265392,0.000510977884870052,0.0,0.0,0.0,4.015516306590182,18.28775514530473,0.007901393052758872,3.6320172330046665,0.0,2.0999999999999997e8
949.0,297.00000925452275,300.0,18.423726916156216,13.970903415816434,13.236129477412204,4.78512567087141,0.0014086087827302905,6.9073328521896755,0.00034591394137885165,0.9812360553419592,1.223106507339003,0.07574559683283037,3.867744009977937,17.293240495220225,0.0018483242692778489,4.780041531239383,0.28111668340261003,2.099999945607824e8
949.0,297.00000925452275,600.0,18.5273733405401,12.904516202901734,12.295720982992222,4.564203304454745,0.001448830981979202,6.860112986635568,0.0003511495952010882,1.9008428338722705,2.385296634321167,0.1481218923000887,3.720379455756226,16.352798350617416,0.0020532863080825136,5.8672304600437535,0.5615790630987082,2.0999999223166132e8
949.0,297.00000925452275,900.0,18.631701885093573,11.89729427026815,11.403299338850879,4.35209630366501,0.0014934400893200934,6.812715251451356,0.00035695981965724877,2.7679582337654196,3.487717987929295,0.2172554786130066,3.576431268673791,15.463489385067055,0.002279568425080512,6.899758636925534,0.8357499199146877,2.0999999001525885e8
949.0,297.00000925452275,1200.0,18.737563280338502,10.946878000001213,10.555500104111525,4.148373824149917,0.001542952968413643,6.7650910332300604,0.00036344170050435693,3.5853339545572505,4.533575270291738,0.2832778701807653,3.43569972697304,14.622538519083248,0.0025302234634137963,7.88059842113999,1.1040875247973696,2.0999998790458697e8
949.0,297.00000925452275,1500.0,18.844912959783564,10.050163687418218,9.750009973267215,3.952617425972273,0.001598184114116379,6.717185097276323,0.0003706918666777106,4.3555610208214,5.525914036453354,0.3463147904634899,3.2979821172139996,13.827318634489483,0.002809098957957884,8.812575798303147,1.3670587745770713,2.099999858938563e8
949.0,297.00000925452275,1800.0,18.95372774890005,9.204214659543904,8.984646985779175,3.7644209188690345,0.001660151313898886,6.668934760886352,0.000378827582657209,5.081074453939172,6.467625399116216,0.40648625424363266,3.163072977596081,13.075346151670404,0.0031209527801105666,9.698374380547724,1.6251399770472759,2.0999998397755057e8
949.0,297.00000925452275,2100.0,19.06400337713792,8.406240085390332,8.25735295090102,3.583387493030756,0.0017301006619560282,6.620268215097745,0.0003879881700964815,5.764165859573068,7.3614633085303876,0.46390714603688166,3.030761966131659,12.364266802854063,0.00347154228327127,10.540551583945556,1.8788228303062624,2.0999998215039563e8
