! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : RADM2_EdgeList.csv
! Equation file        : RADM2.kpp
! Output root filename : RADM2
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
43,122,R122,HCHO,0.77
48,122,R122,ALD,0.41
51,122,R122,HO2,1
52,122,MO2,R122,-1
33,123,R123,KET,1.39
43,123,R123,HCHO,0.8
44,123,HC8P,R123,-1
48,123,R123,ALD,0.46
51,123,R123,HO2,1
52,123,MO2,R123,-1
40,124,OL2P,R124,-1
43,124,R124,HCHO,1.55
48,124,R124,ALD,0.35
51,124,R124,HO2,1
52,124,MO2,R124,-1
37,125,OLTP,R125,-1
43,125,R125,HCHO,1.25
48,125,R125,ALD,0.75
51,125,R125,HO2,1
52,125,MO2,R125,-1
33,126,R126,KET,0.55
43,126,R126,HCHO,0.89
48,126,R126,ALD,0.725
49,126,OLIP,R126,-1
51,126,R126,HO2,1
52,126,MO2,R126,-1
34,127,R127,MGLY,0.75
43,127,R127,HCHO,0.75
50,127,KETP,R127,-1
51,127,R127,HO2,1
52,127,MO2,R127,-1
3,128,R128,ORA2,0.5
43,128,R128,HCHO,1
51,128,R128,HO2,0.5
52,128,MO2,R128,-1
52,128,R128,MO2,0.5
55,128,ACO3,R128,-1
30,129,R129,DCB,0.7
31,129,R129,GLY,0.16
34,129,R129,MGLY,0.17
35,129,TOLP,R129,-1
43,129,R129,HCHO,1
51,129,R129,HO2,2
52,129,MO2,R129,-1
30,130,R130,DCB,0.806
34,130,R130,MGLY,0.45
36,130,XYLP,R130,-1
43,130,R130,HCHO,1
51,130,R130,HO2,2
52,130,MO2,R130,-1
3,131,R131,ORA2,0.5
26,131,R131,CO,0.475
31,131,R131,GLY,0.445
34,131,R131,MGLY,0.055
39,131,R131,XO2,1
43,131,R131,HCHO,0.5
45,131,TCO3,R131,-1
51,131,R131,HO2,0.46
52,131,MO2,R131,-1
55,131,R131,ACO3,0.025
3,132,R132,ORA2,0.5
48,132,R132,ALD,1
51,132,R132,HO2,0.5
52,132,R132,MO2,0.5
55,132,ACO3,R132,-1
57,132,ETHP,R132,-1
3,133,R133,ORA2,0.5
33,133,R133,KET,0.8
48,133,R133,ALD,0.2
51,133,R133,HO2,0.5
52,133,R133,MO2,0.5
55,133,ACO3,R133,-1
56,133,HC3P,R133,-1
3,134,R134,ORA2,0.5
33,134,R134,KET,0.86
41,134,HC5P,R134,-1
48,134,R134,ALD,0.14
51,134,R134,HO2,0.5
52,134,R134,MO2,0.5
55,134,ACO3,R134,-1
3,135,R135,ORA2,0.5
33,135,R135,KET,0.9
44,135,HC8P,R135,-1
48,135,R135,ALD,0.1
51,135,R135,HO2,0.5
52,135,R135,MO2,0.5
55,135,ACO3,R135,-1
3,136,R136,ORA2,0.5
40,136,OL2P,R136,-1
43,136,R136,HCHO,0.8
48,136,R136,ALD,0.6
51,136,R136,HO2,0.5
52,136,R136,MO2,0.5
55,136,ACO3,R136,-1
3,137,R137,ORA2,0.5
37,137,OLTP,R137,-1
43,137,R137,HCHO,0.5
48,137,R137,ALD,1
51,137,R137,HO2,0.5
52,137,R137,MO2,0.5
55,137,ACO3,R137,-1
3,138,R138,ORA2,0.5
33,138,R138,KET,0.55
43,138,R138,HCHO,0.14
48,138,R138,ALD,0.725
49,138,OLIP,R138,-1
51,138,R138,HO2,0.5
52,138,R138,MO2,0.5
55,138,ACO3,R138,-1
3,139,R139,ORA2,0.5
34,139,R139,MGLY,1
50,139,KETP,R139,-1
51,139,R139,HO2,0.5
52,139,R139,MO2,0.5
55,139,ACO3,R139,-1
52,140,R140,MO2,2
55,140,ACO3,R140,-2
30,141,R141,DCB,1
31,141,R141,GLY,0.2
34,141,R141,MGLY,0.8
35,141,TOLP,R141,-1
51,141,R141,HO2,1
52,141,R141,MO2,1
55,141,ACO3,R141,-1
30,142,R142,DCB,1
34,142,R142,MGLY,1
36,142,XYLP,R142,-1
51,142,R142,HO2,1
52,142,R142,MO2,1
55,142,ACO3,R142,-1
26,143,R143,CO,0.95
31,143,R143,GLY,0.89
34,143,R143,MGLY,0.11
39,143,R143,XO2,2
45,143,TCO3,R143,-1
51,143,R143,HO2,0.92
52,143,R143,MO2,1
55,143,ACO3,R143,-1
55,143,R143,ACO3,0.05
39,144,XO2,R144,-1
