! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : gckpp_EdgeList.csv
! Equation file        : gckpp.kpp
! Output root filename : gckpp
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
235,128,R128,HNO3,1
283,128,NO3,R128,-1
260,129,MCO3,R129,-2
265,129,R129,MO2,2
260,130,MCO3,R130,-1
264,130,R130,CH2O,1
265,130,MO2,R130,-1
265,130,R130,MO2,1
275,130,R130,HO2,1
209,131,R131,ACTA,1
260,131,MCO3,R131,-1
264,131,R131,CH2O,1
265,131,MO2,R131,-1
219,132,R132,ACET,0.32
222,132,R132,MEK,0.19
234,132,R132,A3O2,0.05
249,132,R132,OTHRO2,0.32
256,132,R4O2,R132,-1
257,132,R132,B3O2,0.18
258,132,R132,RCHO,0.13
260,132,MCO3,R132,-1
262,132,R132,ALD2,0.32
265,132,R132,MO2,1
275,132,R132,HO2,0.27
250,133,ATO2,R133,-1
260,133,MCO3,R133,-1
260,133,R133,MCO3,1
264,133,R133,CH2O,1
265,133,R133,MO2,1
253,134,KO2,R134,-1
260,134,MCO3,R134,-1
260,134,R134,MCO3,1
262,134,R134,ALD2,1
265,134,R134,MO2,1
219,135,R135,ACET,1
257,135,B3O2,R135,-1
260,135,MCO3,R135,-1
265,135,R135,MO2,1
275,135,R135,HO2,1
254,136,R4N1,R136,-1
256,136,R136,R4O2,0.3
258,136,R136,RCHO,0.57
260,136,MCO3,R136,-1
262,136,R136,ALD2,0.75
264,136,R136,CH2O,0.39
265,136,R136,MO2,1
281,136,R136,NO2,1
198,137,PRN1,R137,-1
260,137,MCO3,R137,-1
262,137,R137,ALD2,1
264,137,R137,CH2O,1
265,137,R137,MO2,1
281,137,R137,NO2,1
209,138,R138,ACTA,1
222,138,R138,MEK,1
256,138,R4O2,R138,-1
260,138,MCO3,R138,-1
209,139,R139,ACTA,1
231,139,R139,MGLY,1
250,139,ATO2,R139,-1
260,139,MCO3,R139,-1
209,140,R140,ACTA,1
222,140,R140,MEK,1
253,140,KO2,R140,-1
260,140,MCO3,R140,-1
209,141,R141,ACTA,1
254,141,R4N1,R141,-1
258,141,R141,RCHO,1
260,141,MCO3,R141,-1
281,141,R141,NO2,1
198,142,PRN1,R142,-1
209,142,R142,ACTA,1
258,142,R142,RCHO,1
260,142,MCO3,R142,-1
281,142,R142,NO2,1
209,143,R143,ACTA,1
219,143,R143,ACET,1
257,143,B3O2,R143,-1
260,143,MCO3,R143,-1
214,144,ETO2,R144,-1
260,144,MCO3,R144,-1
262,144,R144,ALD2,1
265,144,R144,MO2,1
275,144,R144,HO2,1
249,145,OTHRO2,R145,-1
260,145,MCO3,R145,-1
262,145,R145,ALD2,1
265,145,R145,MO2,1
275,145,R145,HO2,1
209,146,R146,ACTA,1
214,146,ETO2,R146,-1
260,146,MCO3,R146,-1
262,146,R146,ALD2,1
209,147,R147,ACTA,1
249,147,OTHRO2,R147,-1
260,147,MCO3,R147,-1
262,147,R147,ALD2,1
234,148,R148,A3O2,0.07
249,148,R148,OTHRO2,0.5
255,148,RCO3,R148,-1
257,148,R148,B3O2,0.27
260,148,MCO3,R148,-1
265,148,R148,MO2,1
35,149,R149,LOx,2
281,149,R149,NO2,2
283,149,NO3,R149,-2
74,150,R150,MPN,1
265,150,MO2,R150,-1
281,150,NO2,R150,-1
74,151,MPN,R151,-1
265,151,R151,MO2,1
281,151,R151,NO2,1
92,152,DMS,R152,-1
142,152,R152,SO2,1
264,152,R152,CH2O,1
265,152,R152,MO2,1
277,152,OH,R152,-1
27,153,R153,MSA,0.25
92,153,DMS,R153,-1
142,153,R153,SO2,0.75
265,153,R153,MO2,1
277,153,OH,R153,-1
35,154,R154,LOx,1
92,154,DMS,R154,-1
142,154,R154,SO2,1
235,154,R154,HNO3,1
264,154,R154,CH2O,1
265,154,R154,MO2,1
283,154,NO3,R154,-1
38,155,R155,PSO4,1
67,155,R155,SO4,1
142,155,SO2,R155,-1
275,155,R155,HO2,1
277,155,OH,R155,-1
271,156,R156,BrO,1
274,156,Br,R156,-1
276,156,O3,R156,-1
251,157,R157,HOBr,1
271,157,BrO,R157,-1
275,157,HO2,R157,-1
274,158,Br,R158,-1
275,158,HO2,R158,-1
284,158,R158,HBr,1
274,159,R159,Br,1
277,159,OH,R159,-1
284,159,HBr,R159,-1
287,159,R159,H2O,1
35,160,R160,LOx,2
271,160,BrO,R160,-2
274,160,R160,Br,2
35,161,R161,LOx,2
125,161,R161,Br2,1
271,161,BrO,R161,-2
271,162,BrO,R162,-1
274,162,R162,Br,1
279,162,NO,R162,-1
281,162,R162,NO2,1
125,163,R163,Br2,1
173,163,BrNO3,R163,-1
274,163,Br,R163,-1
283,163,R163,NO3,1
34,164,R164,POx,1
125,164,Br2,R164,-1
251,164,R164,HOBr,1
274,164,R164,Br,1
277,164,OH,R164,-1
35,165,R165,LOx,1
251,165,HOBr,R165,-1
271,165,R165,BrO,1
277,165,R165,OH,1
278,165,O,R165,-1
35,166,R166,LOx,1
274,166,R166,Br,1
277,166,R166,OH,1
278,166,O,R166,-1
284,166,HBr,R166,-1
35,167,R167,LOx,1
271,167,BrO,R167,-1
274,167,R167,Br,1
275,167,R167,HO2,1
277,167,OH,R167,-1
271,168,R168,BrO,1
274,168,Br,R168,-1
281,168,R168,NO2,1
283,168,NO3,R168,-1
36,169,R169,PCO,1
261,169,R169,CO,1
264,169,CH2O,R169,-1
274,169,Br,R169,-1
275,169,R169,HO2,1
284,169,R169,HBr,1
260,170,R170,MCO3,1
