! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
! 
! Representation of the mechanism as a bipartite species-reaction graph in CSV format
! 
! Generated by KPP-3.3.0 symbolic chemistry Kinetics PreProcessor
!       (https:/github.com/KineticPreProcessor/KPP)
! KPP is distributed under GPL, the general public licence
!       (http://www.gnu.org/copyleft/gpl.html)
! (C) 1995-1997, V. Damian & A. Sandu, CGRER, Univ. Iowa
! (C) 1997-2022, A. Sandu, Michigan Tech, Virginia Tech
!     With important contributions from:
!        M. Damian,   Villanova University, Philadelphia, PA, USA
!        R. Sander,   Max-Planck Institute for Chemistry, Mainz, Germany
!        M. Long,     Renaissance Fiber, LLC, North Carolina, USA
!        H. Lin,      Harvard University, Cambridge, MA, USA
!        R. Yantosca, Harvard University, Cambridge, MA, USA
! 
! File                 : isoprene_reduced_plus_v5_EdgeList.csv
! Equation file        : isoprene_reduced_plus_v5.def
! Output root filename : isoprene_reduced_plus_v5
! 
! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~



# species_index (starts from 1),reaction_index (starts from 1),from,to, directed stoichiometric value
145,76,HO2,R76,-1
145,76,R76,HO2,0.65
54,77,R77,MVK3OH4OH,0.2
101,77,R77,CO,0.2
120,77,IEPOXAOO,R77,-1
125,77,R77,MGLY,0.8
134,77,R77,GLYC,0.8
136,77,R77,NO2,1
140,77,NO,R77,-1
145,77,R77,HO2,1
120,78,IEPOXAOO,R78,-1
123,78,R78,IDHCN,1
140,78,NO,R78,-1
54,79,MVK3OH4OH,R79,-1
102,79,R79,MVK3CO4OH,0.6
119,79,R79,MVK3OH4CO,0.4
144,79,OH,R79,-1
145,79,R79,HO2,1
1,80,R80,CO2,1
119,80,MVK3OH4CO,R80,-1
125,80,R80,MGLY,1
144,80,OH,R80,-1
144,80,R80,OH,1
101,81,R81,CO,0.5
112,81,R81,GLYX,0.5
119,81,MVK3OH4CO,R81,-1
125,81,R81,MGLY,0.5
138,81,R81,CH3CO3,0.5
145,81,R81,HO2,1.5
101,82,R82,CO,2
102,82,MVK3CO4OH,R82,-1
138,82,R82,CH3CO3,1
144,82,OH,R82,-1
145,82,R82,HO2,1
101,83,R83,CO,1
102,83,MVK3CO4OH,R83,-1
115,83,R83,HCHO,1
138,83,R83,CH3CO3,1
145,83,R83,HO2,1
1,84,R84,CO2,0.63
17,84,R84,MACR2OH3CO,0.16
63,84,MACR2OH3OH,R84,-1
101,84,R84,CO,0.84
124,84,R84,HAC,0.21
138,84,R84,CH3CO3,0.63
144,84,OH,R84,-1
144,84,R84,OH,0.63
145,84,R84,HO2,1
1,85,R85,CO2,1
17,85,MACR2OH3CO,R85,-1
101,85,R85,CO,1
138,85,R85,CH3CO3,1
144,85,OH,R85,-1
144,85,R85,OH,1
145,85,R85,HO2,1
107,86,MVK,R86,-1
137,86,R86,MVKOHOO,1
144,86,OH,R86,-1
64,87,R87,MVK3OH4OOH,0.2
81,87,R87,MVK3OOH4OH,0.135
102,87,R87,MVK3CO4OH,0.255
115,87,R87,HCHO,0.05
125,87,R87,MGLY,0.05
134,87,R87,GLYC,0.36
137,87,MVKOHOO,R87,-1
138,87,R87,CH3CO3,0.36
144,87,R87,OH,0.665
145,87,HO2,R87,-1
145,87,R87,HO2,0.305
115,88,R88,HCHO,0.242
125,88,R88,MGLY,0.242
134,88,R88,GLYC,0.758
136,88,R88,NO2,1
137,88,MVKOHOO,R88,-1
138,88,R88,CH3CO3,0.758
140,88,NO,R88,-1
145,88,R88,HO2,0.242
96,89,R89,MVK3OH4N,0.438
130,89,R89,MVK3N4OH,0.562
137,89,MVKOHOO,R89,-1
140,89,NO,R89,-1
78,90,R90,HPAC,0.036
101,90,R90,CO,0.036
109,90,R90,MCROHOO,0.964
126,90,MACR,R90,-1
144,90,OH,R90,-1
145,90,R90,HO2,0.036
113,91,R91,MACR1OO,1
126,91,MACR,R91,-1
144,91,OH,R91,-1
90,92,R92,MACR2OOH3OH,0.41
